invoice_line_id,invoice_id,quantity,unit_price,line_total,tax_regime_flag
1,300001,3,445.20,1065.20,
2,300001,5,292.01,1187.16,
3,300001,4,13.19,42.74,
4,300003,1,530.91,437.62,
5,300003,4,8.00,24.02,
6,300003,3,13.46,31.14,
7,300003,2,60.88,97.29,
8,300003,3,321.93,760.81,
9,300003,3,140.32,336.80,
10,300003,4,298.94,964.98,
11,300003,4,295.47,889.70,
12,300003,5,460.32,1866.51,
13,300003,4,103.20,354.45,
14,300003,7,229.68,1219.03,
15,300003,4,101.76,343.92,
16,300003,3,543.15,1212.10,
17,300010,4,506.94,1763.15,
18,300010,1,17.32,16.30,
19,300010,6,24.55,137.00,
20,300010,3,7.94,21.86,
21,300010,4,8.31,30.33,
22,300014,5,218.16,958.60,
23,300014,3,86.35 EGP,237.33,
24,300014,1,23.66,20.80,
25,300014,4,202.34,683.32,
26,300014,3,162.79,416.11,
27,300014,7,80.15,450.30,
28,300014,4,443.52,1543.50,
29,300022,4,142.69,487.97,
30,300022,5,18.58,74.34,
31,300022,5,81.17,311.31,
32,300022,6,248.40,1251.31,
33,300023,5,57.58,234.92,
34,300023,4,23.33 EGP,79.51,
35,300023,3,247.92,641.29,
36,300025,2,85.25,154.06,
37,300025,7,99.65,583.94,
38,300025,3,19.49,51.63,
39,300025,3,260.88,655.36,
40,300032,4,253.44,907.55,
41,300032,5,18.88,83.83,
42,300032,7,142.43,967.05,
43,300032,6,23.28,119.80,
44,300040,7,189.20,1042.58,
45,300040,5,45.00,189.73,
46,300040,3,202.95,504.73,
47,300040,3,7.65,19.83,
48,300040,2,506.43,850.22,
49,300041,3,531.42,1417.83,
50,300041,4,286.02,993.11,
51,300041,5,157.62,684.08,
52,300041,5,245.52,1027.28,
53,300041,4,43.70,145.68,
54,300041,2,73.32 EGP,130.25,
55,300041,7,7.34,41.99,
56,300041,4,107.26,374.27,
57,300041,5,121.89,499.55,
58,300041,3,132.00,323.22,
59,300041,6,25.42,129.03,
60,300041,8,72.06,497.50,
61,300041,3,499.80,1200.48,
62,300041,4,32.74,109.24,
63,300043,3,73.87,199.30,
64,300043,6,108.09,538.07,
65,300043,6,185.86,948.25,
66,300043,5,85.02,379.63,
67,300043,6,233.04,1126.15,
68,300043,1,500.82,446.56,
69,300046,3,8.39,18.84,
70,300046,6,22.32,99.48,
71,300046,5,146.68 EGP,530.86,
72,300046,3,445.62,1023.65,
73,300046,3,165.09,360.10,
74,300046,5,17.80,63.80,
75,300046,5,104.45,365.84,
76,300046,4,56.12 EGP,153.40,
77,300046,6,24.38,111.70,
78,300046,7,344.61,1940.12,
79,300056,3,61.79,149.76,
80,300056,2,22.08,36.57,
81,300056,3,47.97,119.05,
82,300056,5,475.83 EGP,1836.22,
83,300056,6,163.70,764.77,
84,300056,4,8.53,25.63,
85,300056,5,127.91,565.41,
86,300058,5,156.26,623.97,
87,300058,2,550.80,923.43,
88,300058,4,263.04,876.75,
89,300058,3,250.08,646.64,
90,300058,7,192.54,1125.33,
91,300060,4,46.49,159.59,
92,300060,9,11.59,94.07,
93,300060,3,41.00,101.92,
94,300060,5,155.80,621.20,
95,300065,5,7.62 EGP,32.11,
96,300065,4,33.03,113.38,
97,300065,4,441.42,1403.58,
98,300065,4,56.30,181.76,
99,300065,6,11.50,56.87,
100,300065,3,94.08,237.08,
101,300065,7,103.87,561.72,
102,300065,3,110.80,284.84,
103,300066,6,178.64,924.81,
104,300066,3,16.27,42.07,
105,300066,5,106.44,453.32,
106,300066,4,100.13,367.06,
107,300066,3,292.95,812.86,
108,300066,4,96.96,343.55,
109,300066,3,16.47,43.22,
110,300066,2,7.98,13.11,
111,300068,4,513.06,1673.07,
112,300068,2,379.26,604.68,
113,300068,1,341.46 EGP,284.46,
114,300068,8,22.44,152.99,
115,300069,1,186.91,151.13,
116,300069,4,30.76,109.17,
117,300069,4,41.76,140.93,
118,300069,6,454.44,2305.41,
119,300079,6,179.17,813.01,
120,300079,4,459.00,1411.06,
121,300079,5,110.33,426.02,
122,300079,4,549.78,1680.08,
123,300079,8,127.38,764.52,
124,300079,5,320.67,1304.74,
125,300079,4,23.38,74.16,
126,300079,4,32.31,101.13,
127,300079,3,24.02,56.73,
128,300079,3,498.78,1128.97,
129,300079,4,30.26,91.62,
130,300079,3,494.70,1265.24,
131,300079,5,57.77,208.71,
132,300082,3,412.02,1040.36,
133,300082,3,119.06,287.98,
134,300082,6,475.32,2117.87,
135,300082,3,25.66,62.18,
136,300082,1,93.79,82.44,
137,300082,3,11.79 EGP,29.25,
138,300082,4,299.88,1022.07,
139,300082,3,93.41,224.53,
140,300082,4,45.18,148.78,
141,300082,3,22.58,56.77,
142,300083,4,527.85,1957.58,
143,300083,2,56.91,93.86,
144,300083,7,333.27,1936.54,
145,300084,2,443.94,633.86,
146,300084,4,181.98,599.11,
147,300084,2,97.06,166.84,
148,300084,7,456.54,2301.58,
149,300085,6,43.34,199.54,
150,300085,3,119.42,250.57,
151,300085,7,8.25,47.79,
152,300085,5,11.73,46.03,
153,300085,6,143.35,627.38,
154,300085,5,490.11,1883.16,
155,300086,2,444.78,740.00,
156,300086,4,13.04,46.60,
157,300086,5,170.72,691.97,
158,300086,5,103.97,443.94,
159,300086,3,136.62,334.95,
160,300086,6,186.55,940.23,
161,300086,6,537.03,2798.68,
162,300086,4,148.50,506.27,
163,300086,4,7.58,23.49,
164,300086,4,221.20,776.11,
165,300086,3,146.68,386.43,
166,300086,5,242.40,1043.92,
167,300088,3,142.69,353.12,
168,300088,4,155.50,524.94,
169,300088,6,22.73,102.23,
170,300088,1,18.50,15.04,
171,300088,4,258.48,841.44,
172,300088,3,32.31,82.52,
173,300088,9,383.88,3266.33,
174,300092,3,65.94,158.26,
175,300092,3,320.36,714.92,
176,300092,4,145.92,434.31,
177,300092,3,206.85,480.70,
178,300092,5,24.65,97.82,
179,300093,2,8.34,15.60,
180,300093,4,80.93,278.76,
181,300093,4,8.51,31.17,
182,300093,4,172.48,672.27,
183,300093,7,24.48,155.59,
184,300093,3,119.46,318.91,
185,300093,3,172.66,463.70,
186,300093,3,18.11,49.20,
187,300093,5,18.04 EGP,86.29,
188,300093,3,25.01,65.82,
189,300093,5,65.64,277.86,
190,300093,3,107.03,293.77,
191,300093,3,12.69,33.47,
192,300099,3,12.75,28.99,
193,300099,2,167.05,275.83,
194,300102,4,43.16,154.27,
195,300102,4,525.30,1851.37,
196,300102,6,8.38,45.65,
197,300102,1,12.39,11.09,
198,300102,4,149.26,555.95,
199,300102,2,75.83,137.74,
200,300102,4,392.70,1401.73,
201,300102,3,34.65,91.09,
202,300104,3,166.67,472.08,
203,300104,3,16.70,45.13,
204,300104,6,66.73 EGP,354.77,
205,300104,5,249.60,1014.00,
206,300105,9,103.30,810.08,
