doc_no,qty,unit_price,line_value,vat_flag
300002,5,230.16,841.72,
300002,3,164.38,383.11,
300002,3,11.54,24.44,
300002,3,299.88,662.12,
300002,3,57.77,130.84,
300002,2,542.13,784.70,
300002,3,8.34,18.23,
300002,4,165.09,488.53,
300002,4,164.31,473.34,
300002,3,66.00,145.30,
300002,4,25.51,73.55,
300004,4,155.65,519.49,
300004,3,8.70,24.15,
300004,5,140.84,607.88,
300004,5,414.12,1780.76,
300004,4,233.76,800.94,
300004,5,12.44,52.64,
300004,3,7.22,18.85,
300004,5,17.17,70.33,
300007,6,492.15,2561.99,
300007,1,514.59,413.65,
300007,10,144.67,1144.92,
300007,5,32.41,131.41,
300007,2,261.36,423.06,
300007,2,111.39,177.85,
300007,5,8.55,35.28,
300007,4,559.98,1795.64,
300007,7,233.52,1173.80,
300008,1,22.46,16.69,
300008,6,238.32,1146.45,
300008,3,18.23,42.80,
300008,6,56.49,261.22,
300008,3,123.31,273.57,
300009,7,417.48,2295.09,
300009,3,35.38,86.35,
300009,5,202.54,866.22,
300009,6,134.11,645.95,
300009,3,137.02,361.16,
300009,3,8.62,17.93,
300011,2,26.06,42.48,
300011,3,132.79,344.11,
300011,8,43.56,307.61,
300011,3,57.52,146.76,
300011,7,7.45,43.86,
300011,1,55.88,45.80,
9300011,-3,132.79,-344.11,
9300011,-8,43.56,-307.61,
300015,4,292.32,932.37,
300015,4,31.35,101.57,
300015,8,48.42,306.30,
300015,6,41.63,203.75,
300015,6,112.93,530.97,
300015,4,124.08,414.41,
300015,1,223.44,169.66,
300016,4,43.79,127.99,
300016,4,127.32,405.71,
300016,8,75.20,526.93,
300016,3,177.06,433.84,
300017,2,80.86,135.57,
300017,5,128.04,529.95,
300017,8,47.03,324.22,
300017,4,260.88,890.76,
300017,4,463.08,1580.43,
300017,4,75.99,264.57,
300017,1,499.29,445.75,
300017,2,320.99,543.46,
300019,4,188.40,620.10,
300019,2,551.82,927.74,
300019,6,159.98,883.32,
300019,4,192.91,597.80,
300019,2,397.74,642.73,
300019,8,152.00,1023.70,
300019,5,116.35,500.18,
300019,4,12.28,40.98,
300019,4,11.28,36.47,
300019,11,48.87,470.22,
300019,4,126.98,459.61,
300019,7,42.30,244.87,
300020,3,199.47,565.56,
300020,2,119.30,212.72,
300020,2,36.04,60.37,
300020,3,23.50,62.69,
300020,3,160.86,461.94,
300021,5,8.29,39.05,
300021,6,42.08,226.43,
300021,2,18.86,35.29,
300021,3,143.88,392.29,
300021,2,386.82,697.94,
300021,4,510.51,1886.55,
300021,2,58.26,102.63,
300021,3,154.43,427.88,
300021,3,414.54,1132.33,
300021,2,234.48,447.00,
300021,3,8.73,23.07,
300021,4,63.81,232.30,
300024,3,17.35,43.17,
300024,6,33.26,181.72,
300024,6,115.64,648.80,
300024,4,86.04,287.06,
300024,6,127.56,664.90,
300024,5,142.27,605.30,
300027,2,260.16,404.66,
300027,5,7.30,29.92,
300027,2,12.08,21.06,
300027,5,16.99,70.77,
300027,4,310.59,1008.11,
300027,2,8.63,14.11,
300027,5,528.87,2525.76,
300029,5,85.49,365.03,
300029,5,60.88,257.42,
300029,3,214.43,548.52,
300031,5,482.97,2139.91,
300031,2,206.44,366.56,
300031,7,115.52,715.06,
300031,5,521.73,2406.23,
300031,3,461.16,1217.77,
300031,5,33.40,146.26,
300033,4,7.94,27.46,
300033,4,25.25,101.00,
300033,2,121.97,214.48,
300033,2,218.74,436.43,
300033,6,71.67,372.32,
300033,4,43.43,159.19,
300033,7,142.56,916.25,
300033,2,435.12,782.17,
300033,6,124.61,702.21,
300034,6,44.33,231.55,
300034,4,31.52,108.87,
300034,3,24.96,67.70,
300034,5,512.55,2142.61,
300034,4,197.42,707.65,
300034,3,262.80,714.44,
300036,4,12.08,41.11,
300036,3,138.32,331.19,
300036,4,103.58,379.56,
300036,6,7.57,39.19,
300036,5,125.20,489.45,
300037,5,135.83,594.00,
300037,5,85.49,346.32,
300037,6,303.03,1496.54,
300038,2,89.18,165.93,
300038,5,198.65,857.82,
300038,3,80.93,221.10,
300042,7,116.47,749.30,
300042,5,415.38,1860.09,
300042,3,171.95,508.34,
300042,2,73.16,137.17,
300042,6,474.81,2515.26,
300044,3,304.61,794.09,
300044,3,66.43,180.08,
300044,4,146.07,499.39,
