invoice_id,customer_id,placed_at_utc,delivery_slot,grand_total,paid_total,declared_items,campaign_ref,order_status
300001,1019,2024-09-15T07:24:52Z,,2295.1,2295.10,3,NONE,pending_hold
300003,1026,2024/09/05 15:37,,8538.38,,13,NONE,pending_hold
300010,1116,2024-09-15T12:58:47Z,,1968.64,1968.64,5,WINTER-FLYER,shipped
300014,1155,2024-09-09T11:57:13Z,,4309.97,4309.97,7,NONE,canceled
300022,1332,2024-09-24T10:01:33Z,,2124.94,2124.94,4,RAMADAN-BUNDLE,paid
300023,1332,2024-09-06T10:27:54Z,,955.72,955.72,3,WINTER-FLYER,paid
300025,1382,2024-09-18T11:01:16Z,,1445.0,,4,RAMADAN-BUNDLE,pending_hold
300032,1420,2024-09-03T09:43:30Z,,2078.23,2078.23,4,RAMADAN-BUNDLE,pending_hold
300040,1480,2024-09-21T06:55:24Z,,2607.08,,5,RAMADAN-BUNDLE,shipped
300041,1480,2024/09/23 13:06,,7573.5,7573.50,14,RAMADAN-BUNDLE,paid
300043,1510,2024-09-23T10:27:09Z,,3637.95,,6,LUX-R6,paid
300046,1537,2024-09-11T12:34:33Z,,4667.79,4667.79,10,NONE,paid
300056,1603,2024-09-23T11:01:36Z,,3497.41,,7,,canceled
300058,1611,2024-09-20T14:28:44Z,,4196.12,4196.12,5,LUX-R6,paid
300060,1666,2024-09-07T07:45:56Z,,976.79,976.79,4,NONE,paid
300065,1833,2024-09-12T08:28:04Z,,2869.35,,8,LUX-R6,shipped
300066,1862,2024-09-02T14:08:01Z,,2999.99,2999.99,8,RAMADAN-BUNDLE,pending_hold
300068,1866,2024-09-12T11:06:09Z,,2715.19,2715.19,4,LUX-R6,paid
300069,1900,2024-09-26T13:47:52Z,,2706.64,2706.64,4,RAMADAN-BUNDLE,paid
300079,2021,2024-09-28T12:59:44Z,,9325.98,,13,WINTER-FLYER,paid
300082,2029,2024-09-17T14:40:51Z,,5072.23,,10,NONE,paid
300083,2029,2024-09-10T12:12:55Z,,3987.98,,3,,pending_hold
300084,2040,2024-09-11T12:52:41Z,,3701.4,,4,NONE,paid
300085,2054,2024-09-05T06:13:51Z,,3054.47,3054.47,6,RAMADAN-BUNDLE,pending_hold
300086,2091,2024-09-05T06:30:33Z,,8732.6,8732.60,12,NONE,canceled
300088,2101,2024/09/21 08:02,,5185.61,5185.61,7,NONE,shipped
300092,2132,2024-09-11T07:10:27Z,,1886.0,,5,RAMADAN-BUNDLE,paid
300093,2132,2024-09-20T08:04:46Z,,2742.44,2742.44,13,RAMADAN-BUNDLE,canceled
300099,2192,2024-09-20T10:48:40Z,,304.82,304.82,2,RAMADAN-BUNDLE,pending_hold
300102,2301,2024-09-07T06:00:35Z,,4247.4,,8,,shipped
300104,2326,2024-09-19T10:00:27Z,,1885.98,1885.98,4,NONE,shipped
300105,2368,2024-09-14T06:51:44Z,,2130.16,,5,,canceled
300108,2376,2024-09-26T11:42:21Z,,1636.03,1636.03,3,,pending_hold
300113,2383,2024-09-27T13:11:06Z,,3675.66,3675.66,8,LUX-R6,canceled
300116,2397,2024-09-01T11:17:15Z,,2939.46,2939.46,8,NONE,paid
300119,2447,2024-09-13T10:10:31Z,,4517.39,,9,WINTER-FLYER,paid
300126,2576,2024-09-19T08:13:51Z,,4881.83,,6,RAMADAN-BUNDLE,paid
300130,2598,2024-09-18T10:37:24Z,,4040.09,,12,,shipped
300134,2721,2024-09-19T08:56:38Z,,1136.42,1136.42,5,LUX-R6,paid
300135,2735,2024-09-25T09:08:12Z,,4126.68,,7,RAMADAN-BUNDLE,pending_hold
300137,2735,2024-09-17T06:34:14Z,,1126.13,,3,NONE,pending_hold
300145,1021,2024-10-16T06:49:47Z,,1024.47,1024.47,2,,paid
300146,1021,2024/10/15 09:35,,3994.39,,12,LUX-R6,paid
300147,1022,2024-10-09T11:01:57Z,,8109.7,8109.70,13,WINTER-FLYER,shipped
300148,1029,2024-10-02T12:44:06Z,,6257.2,,6,NONE,paid
300163,1135,2024-10-28T10:02:15Z,,2648.64,,5,NONE,paid
300164,1135,2024-10-16T09:07:26Z,,1161.27,,2,LUX-R6,paid
300165,1143,2024-10-13T11:38:01Z,,1638.53,1638.53,5,RAMADAN-BUNDLE,pending_hold
300168,1174,2024-10-14T16:30:55Z,,9281.74,,11,WINTER-FLYER,paid
300170,1186,2024-10-05T13:31:13Z,,3429.83,3429.83,6,RAMADAN-BUNDLE,paid
300171,1189,2024-10-27T12:13:08Z,,2949.71,2949.71,8,WINTER-FLYER,canceled
300172,1200,2024-10-07T12:26:48Z,,9160.5,9160.50,8,LUX-R6,paid
300174,1236,2024-10-22T06:11:38Z,,1509.4,1509.40,6,LUX-R6,paid
300177,1248,2024-10-01T10:49:15Z,,1188.78,,3,NONE,paid
300180,1256,2024-10-08T10:20:07Z,,3761.84,,8,NONE,paid
300188,1320,2024-10-06T06:26:40Z,,5332.69,,10,NONE,canceled
300194,1350,2024-10-08T09:03:12Z,,6321.01,,6,RAMADAN-BUNDLE,paid
300199,1364,2024-10-11T08:13:06Z,,1939.16,,7,NONE,paid
300203,1394,2024-10-04T08:58:00Z,,6087.84,6087.84,4,,paid
300204,1394,2024-10-10T07:20:30Z,,3045.59,,5,WINTER-FLYER,paid
300206,1394,2024-10-07T11:26:55Z,,4099.75,4099.75,11,NONE,paid
300207,1394,2024-10-12T12:02:48Z,,4455.86,,8,NONE,paid
300210,1406,2024-10-15T09:52:24Z,,4469.81,4469.81,11,NONE,pending_hold
300211,1407,2024-10-23T06:52:48Z,,3725.01,,7,NONE,canceled
300213,1420,2024-10-02T13:17:52Z,,2334.92,,3,,paid
300214,1445,2024-10-17T11:55:50Z,,3331.83,,11,RAMADAN-BUNDLE,canceled
300217,1461,2024-10-27T09:15:46Z,,1177.23,1177.23,6,,pending_hold
300221,1551,2024-10-24T12:56:18Z,,847.08,,4,,paid
300224,1562,2024-10-27T06:50:50Z,,7292.59,,8,LUX-R6,shipped
300228,1568,2024-10-09T15:29:15Z,,2846.43,,6,RAMADAN-BUNDLE,shipped
300230,1575,2024-10-14T13:56:06Z,,3937.64,,5,NONE,shipped
300232,1575,2024-10-06T13:31:54Z,,5455.49,5455.49,8,,pending_hold
300233,1576,2024-10-24T11:33:49Z,,3504.04,,9,NONE,pending_hold
300234,1576,2024-10-09T07:22:35Z,,2153.55,,5,RAMADAN-BUNDLE,paid
300243,1642,2024-10-22T11:17:53Z,,2404.16,2404.16,8,,paid
300244,1643,2024-10-22T17:51:02Z,,2049.35,,9,,paid
300245,1643,2024-10-16T08:38:10Z,,1296.3,,4,RAMADAN-BUNDLE,canceled
300247,1648,2024-10-20T08:40:28Z,,1285.57,1285.57,8,RAMADAN-BUNDLE,shipped
300248,1648,2024/10/05 08:59,,14064.53,14064.53,15,NONE,canceled
300249,1648,2024-10-25T13:11:02Z,,3385.4,,6,,canceled
300250,1662,2024-10-28T07:39:28Z,,2229.36,2229.36,6,,paid
300252,1669,2024-10-22T09:12:35Z,,2276.17,,7,LUX-R6,paid
300254,1669,2024-10-25T10:57:02Z,,6323.4,,8,,canceled
300260,1748,2024-10-05T06:59:48Z,,7216.3,7216.30,9,WINTER-FLYER,paid
300261,1748,2024-10-22T11:27:35Z,,2645.1,,9,,paid
300268,1791,2024-10-16T13:25:15Z,,2937.06,2937.06,5,NONE,paid
300269,1795,2024-10-07T07:36:51Z,,2007.68,2007.68,5,,paid
300270,1822,2024-10-05T16:39:58Z,,2045.23,,4,,paid
300278,1905,2024-10-28T07:24:26Z,,9004.7,9004.70,13,RAMADAN-BUNDLE,paid
300285,1948,2024-10-02T09:40:49Z,,2269.03,,6,WINTER-FLYER,pending_hold
300296,1996,2024-10-12T11:50:05Z,,2994.43,,5,NONE,paid
300300,2016,2024-10-28T09:07:27Z,,3438.9,3438.90,4,NONE,shipped
300304,2025,2024-10-18T08:51:30Z,,4584.97,4584.97,7,RAMADAN-BUNDLE,paid
300311,2051,2024-10-18T13:37:01Z,,2763.4,,7,LUX-R6,paid
300313,2087,2024/10/08 11:22,,2716.45,,5,NONE,paid
300316,2091,2024-10-09T07:44:02Z,,1749.35,,2,WINTER-FLYER,paid
300317,2107,2024-10-14T06:49:06Z,,3635.55,3635.55,8,LUX-R6,paid
300323,2121,2024-10-12T10:28:53Z,,7842.76,7842.76,11,WINTER-FLYER,paid
300324,2129,2024-10-26T09:09:36Z,,3642.16,3642.16,8,RAMADAN-BUNDLE,pending_hold
300327,2131,2024-10-18T07:16:36Z,,2459.03,,7,,paid
300336,2175,2024-10-27T07:01:32Z,,7012.6,7012.60,14,NONE,paid
300340,2264,2024/10/22 13:37,,1038.74,,4,,paid
300345,2293,2024-10-02T09:53:05Z,,4068.92,4068.92,6,NONE,paid
300348,2324,2024/10/17 12:32,,927.31,,3,RAMADAN-BUNDLE,canceled
300351,2340,2024-10-23T07:25:57Z,,4416.07,4416.07,7,WINTER-FLYER,canceled
300353,2370,2024-10-21T06:49:12Z,,7308.53,7308.53,13,,paid
300359,2391,2024-10-06T10:28:17Z,,13212.53,,15,NONE,paid
300362,2397,2024/10/06 16:03,,2862.22,,7,,shipped
300364,2452,2024/10/12 10:02,,8846.19,,5,,paid
300365,2454,2024-10-26T07:09:24Z,,5076.54,,8,NONE,paid
300366,2462,2024-10-15T09:25:25Z,,6574.02,,8,RAMADAN-BUNDLE,paid
300367,2462,2024-10-13T09:46:52Z,,1142.99,1142.99,2,NONE,paid
300368,2462,2024-10-21T11:50:32Z,,4011.95,4011.95,6,WINTER-FLYER,paid
300370,2527,2024-10-09T09:17:15Z,,7222.59,7222.59,8,NONE,paid
300377,2570,2024-10-24T06:43:10Z,,8022.86,,7,WINTER-FLYER,canceled
300380,2598,2024-10-25T09:17:50Z,,4286.78,,9,LUX-R6,paid
300384,2611,2024-10-10T12:53:08Z,,1526.1,,2,WINTER-FLYER,shipped
300385,2611,2024-10-10T09:34:31Z,,2453.3,,5,NONE,pending_hold
300386,2611,2024-10-24T10:17:52Z,,1405.89,,3,RAMADAN-BUNDLE,shipped
300401,2724,2024-10-11T08:18:13Z,,2171.69,2171.69,6,NONE,pending_hold
300409,1013,2024-11-24T09:23:48Z,,5363.54,,7,RAMADAN-BUNDLE,pending_hold
300410,1013,2024-11-01T06:27:35Z,,3536.94,,2,WINTER-FLYER,shipped
300413,1016,2024-11-01T06:27:16Z,,2527.74,2527.74,7,NONE,paid
300415,1016,2024-11-15T12:13:05Z,,669.92,,4,,pending_hold
300420,1021,2024-11-21T07:31:10Z,,5569.89,5569.89,7,RAMADAN-BUNDLE,pending_hold
300424,1035,2024-11-07T11:59:33Z,,9823.68,9823.68,12,WINTER-FLYER,shipped
300428,1064,2024-11-19T11:44:33Z,,3095.38,3095.38,12,NONE,shipped
300430,1076,2024-11-16T09:44:17Z,,6227.42,,6,,canceled
300431,1084,2024-11-21T06:46:31Z,,3809.91,3809.91,8,WINTER-FLYER,paid
300438,1118,2024-11-18T12:56:46Z,,9848.8,9848.80,9,,canceled
300441,1141,2024-11-05T14:08:49Z,,1946.64,1946.64,3,,paid
300442,1141,2024-11-02T11:40:30Z,,1916.38,1916.38,8,NONE,paid
300445,1158,2024-11-16T10:25:23Z,,3567.02,,5,LUX-R6,paid
300446,1158,2024-11-24T08:07:22Z,,5796.86,5796.86,12,,paid
300450,1174,2024-11-04T15:44:13Z,,2936.04,2936.04,7,,pending_hold
300451,1181,2024-11-04T06:00:05Z,,4869.02,,10,NONE,paid
300452,1181,2024-11-22T06:39:26Z,,3769.5,3769.50,7,NONE,paid
300454,1186,2024-11-28T06:33:47Z,,7417.55,7417.55,11,NONE,paid
300457,1206,2024-11-05T11:19:09Z,,2361.0,,2,NONE,paid
300468,1287,2024-11-03T15:00:02Z,,2683.06,,9,,pending_hold
300470,1288,2024-11-02T10:35:33Z,,3135.13,,5,LUX-R6,paid
300481,1347,2024-11-06T13:44:42Z,,3105.04,,10,,paid
300485,1357,2024-11-02T11:23:59Z,,6962.89,6962.89,9,,paid
300489,1382,2024-11-17T08:25:22Z,,1179.42,1179.42,8,NONE,canceled
300490,1394,2024-11-03T13:13:32Z,,2024.22,,4,NONE,pending_hold
300491,1394,2024-11-03T12:14:03Z,,3401.1,3401.10,6,RAMADAN-BUNDLE,paid
300496,1411,2024-11-21T10:13:14Z,,3722.83,,9,WINTER-FLYER,pending_hold
300499,1461,2024-11-19T10:38:59Z,,5068.52,,7,NONE,paid
300505,1471,2024-11-20T10:40:28Z,,1676.8,1676.80,2,LUX-R6,pending_hold
300509,1489,2024-11-17T06:00:05Z,,2325.49,,7,NONE,shipped
300511,1491,2024-11-11T12:01:16Z,,1257.27,1257.27,8,WINTER-FLYER,paid
300512,1491,2024-11-26T16:40:04Z,,2127.69,2127.69,5,NONE,paid
300517,1510,2024-11-13T06:21:19Z,,8044.76,,14,LUX-R6,pending_hold
300522,1538,2024-11-22T10:27:14Z,,1543.74,,6,NONE,paid
300530,1563,2024-11-26T06:37:19Z,,3186.07,3186.07,5,WINTER-FLYER,paid
300531,1572,2024/11/25 14:52,,3513.59,,8,NONE,paid
300532,1575,2024-11-08T09:26:40Z,,3769.58,,6,RAMADAN-BUNDLE,paid
300538,1592,2024-11-03T07:35:05Z,,954.72,,5,,shipped
300541,1594,2024-11-22T12:06:20Z,,1857.22,,3,WINTER-FLYER,pending_hold
300543,1596,2024-11-07T11:25:57Z,,1918.1,,4,,pending_hold
300545,1598,2024-11-03T11:21:13Z,,1295.66,,7,RAMADAN-BUNDLE,paid
300549,1611,2024-11-18T13:14:46Z,,1445.26,,10,NONE,shipped
300555,1632,2024/11/27 14:12,,4265.76,4265.76,6,,paid
300556,1633,2024-11-10T11:21:50Z,,827.09,827.09,3,,paid
300557,1635,2024-11-19T10:42:40Z,,1803.39,,7,NONE,pending_hold
300558,1642,2024-11-18T11:56:56Z,,763.61,,2,LUX-R6,pending_hold
300564,1645,2024-11-16T08:19:05Z,,4001.92,4001.92,14,WINTER-FLYER,canceled
300568,1662,2024-11-21T11:34:20Z,,2540.89,2540.89,6,NONE,shipped
300573,1670,2024-11-04T06:51:36Z,,7792.61,,14,,paid
300574,1670,2024-11-27T11:05:32Z,,7373.73,,10,,canceled
300577,1709,2024/11/25 13:34,,2042.4,2042.40,4,LUX-R6,paid
300580,1710,2024-11-12T14:31:26Z,,3893.97,3893.97,6,LUX-R6,pending_hold
300581,1718,2024-11-27T08:40:11Z,,1463.36,,8,LUX-R6,shipped
300582,1718,2024-11-23T09:20:56Z,,3926.74,3926.74,8,,paid
300584,1725,2024-11-14T10:36:37Z,,3593.06,3593.06,6,RAMADAN-BUNDLE,paid
300585,1725,2024-11-26T07:00:13Z,,2818.67,2818.67,3,LUX-R6,paid
300587,1733,2024/11/01 14:05,,3954.82,,7,NONE,shipped
300589,1734,2024-11-10T06:29:44Z,,4067.7,,8,NONE,pending_hold
300590,1734,2024-11-05T13:12:38Z,,1002.94,,2,WINTER-FLYER,paid
300591,1748,2024-11-03T12:18:58Z,,952.47,,2,WINTER-FLYER,pending_hold
300594,1758,2024-11-18T10:03:16Z,,1787.86,,6,RAMADAN-BUNDLE,paid
300595,1758,2024-11-18T12:39:43Z,,3643.48,3643.48,6,,pending_hold
300599,1791,2024-11-07T11:45:33Z,,636.52,,2,,pending_hold
300601,1795,2024-11-24T12:05:21Z,,3549.14,,9,LUX-R6,pending_hold
300602,1797,2024-11-27T09:25:22Z,,4114.91,4114.91,8,LUX-R6,canceled
300607,1839,2024/11/07 10:13,,4649.31,4649.31,6,NONE,pending_hold
300620,1890,2024-11-05T10:59:29Z,,2650.62,,5,NONE,paid
300623,1911,2024-11-02T11:56:25Z,,5759.54,5759.54,12,RAMADAN-BUNDLE,shipped
300626,1928,2024-11-09T10:40:12Z,,1100.34,1100.34,3,WINTER-FLYER,canceled
300628,1941,2024-11-10T09:08:09Z,,2630.26,,8,RAMADAN-BUNDLE,paid
