id,name,class,governorate,area,opens_at_hh,closes_at_hh,sales_rep_id,registered_on,status_code,phone_last4
1000,Misr Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-06-28,0,2783
1001,El Nasr Pharmacy,,,,9,23,1,2025-01-26,0,5371
1002,Silver Care Pharmacy - Marg,,Alexandria,Smouha,10,23,1,2024-12-14,0,6311
1003,El Nasr Pharmacy - Obour,,,,8,23,1,2024-12-15,0,9829
1004,Nile Care Pharmacy - Zayed,,,,9,23,1,2025-06-22,0,7415
1005,Salamtek Pharmacy,,,,9,23,1,2025-04-21,0,5559
1006,Blue Wave Pharmacy,,,,9,23,1,2025-02-21,0,7701
1007,Alpha Pharma - Zayed,,Alexandria,Smouha,9,23,1,2025-08-01,2,4291
1008,Metro Pharmacy,,Alexandria,Smouha,9,23,1,2025-05-07,1,2707
1009,Sunrise Pharmacy - Agami,,,,9,23,1,2024-12-14,0,1459
1010,Better Life Pharmacy - Obour,,Alexandria,Smouha,8,23,1,2025-08-11,0,4393
1011,El Zahraa Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2024-11-11,2,4822
1012,Golden Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-08,0,2048
1013,Metro Pharmacy - Smouha,,,,8,1,1,2024-11-13,0,8119
1014,Union Pharm - Rehab View,,,,10,23,1,2025-06-04,0,8701
1015,Omega Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-01-05,0,3591
1016,Al Nozha Pharmacy - Smouha,,Alexandria,Smouha,10,2,1,2024-10-31,0,6707
1017,El Zahraa Pharmacy - Maadi,,Alexandria,Smouha,9,23,1,2025-04-19,0,1548
1018,Metro Pharmacy - Agami,,Alexandria,Smouha,8,1,1,2025-01-12,0,5434
1019,Care 24 Seven,,,,9,23,1,2024-09-10,1,7404
1020,Omega Pharmacy,,Alexandria,Smouha,10,23,1,2024-12-21,0,4580
1021,El Nasr Pharmacy - Marg,,,,8,23,1,2024-09-13,0,6211
1022,El Zahraa Pharmacy - Smouha,,,,9,1,1,2024-10-09,0,1674
1023,Al Amal Pharmacy,,Alexandria,Smouha,8,23,1,2025-05-23,0,6877
1024,Care 24 Seven,,,,9,23,1,2025-01-18,0,9014
1025,Elite Pharmacy,,,,9,2,1,2025-01-02,0,2137
1026,Hope Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-15,0,6013
1027,El Tourath Pharmacy,,Alexandria,Smouha,9,1,1,2024-11-18,0,3749
1028,Health Gate Pharmacy,,Alexandria,Smouha,9,2,1,2025-03-29,0,2480
1029,Al Nozha Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-09-06,1,1658
1030,Blue Wave Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-07-11,0,7258
1031,Omega Pharmacy,,Alexandria,Smouha,9,23,1,2025-08-28,0,3129
1032,Silver Care Pharmacy,,,,8,23,1,2025-01-15,0,2802
1033,Blue Wave Pharmacy - Banha,,,,9,23,1,2025-09-10,0,1094
1034,El Faraby Pharmacy - Smouha,,,,8,23,1,2024-11-05,0,6956
1035,Misr Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-01,0,8199
1036,Star Care Pharmacy - Smouha,,,,9,23,1,2024-09-19,0,1295
1037,El Faraby Pharmacy - Smouha,,,,10,1,1,2025-05-14,0,2702
1038,El Faraby Pharmacy - Obour,,Alexandria,Smouha,8,1,1,2025-05-29,0,8314
1039,Life Line Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2024-09-21,0,9305
1040,Union Pharm,,Alexandria,Smouha,9,23,1,2025-01-03,0,8558
1041,El Nasr Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-07-16,0,7047
1042,Mira Pharmacy - Banha,,,,8,23,1,2024-10-06,0,7033
1043,Omega Pharmacy,,,,9,23,1,2025-08-04,1,7348
1044,El Shifa Pharmacy,,Alexandria,Smouha,9,1,1,2025-06-20,0,9004
1045,Union Pharm,,Alexandria,Smouha,8,23,1,2025-05-21,1,7084
1046,Health Gate Pharmacy - Oct City,,Alexandria,Smouha,8,23,1,2025-05-25,0,6188
1047,Dr Medhat Pharmacy - Smouha,,,,9,23,1,2025-08-29,0,6294
1048,Health Gate Pharmacy - Smouha,,,,9,23,1,2024-12-01,0,4075
1049,Metro Pharmacy - Oct City,,,,9,1,1,2024-11-14,0,3466
1050,Al Amal Pharmacy,,Alexandria,Smouha,9,23,1,2025-01-13,0,9746
1051,El Shifa Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-01-08,0,5926
1052,Green Leaf Pharmacy,,,,9,23,1,2024-10-04,0,3801
