alias_id,account_name,branch_id,supplier_code
A50001,PY/Misr Smouha Mall,739,1
A50002,MISR SMOUHA-A,739,1
A50003,PH Misr Smouha-A,747,1
A50004,EL Misr Smouha Main Road,747,1
A50005,Ph/misr smouha Station St.,772,1
A50006,misr smouha Main Road,772,1
A50007,EL NASR Main Road,749,1
A50008,PH El Nasr 6th Zone,749,1
A50009,El Nasr,766,1
A50010,EL NASR BBranch 2,766,1
A50011,El-El Nasr Branch 2,782,1
A50012,el Silver Care Marg Branch 1,704,1
A50013,Silver Care Marg Branch 2,704,1
A50014,El-silver care marg Station St.,743,1
A50015,SILVER CARE MARG,753,1
A50016,Ph/Silver Care Marg-A,753,1
A50017,Silver Care Marg 6th Zone,754,1
A50018,Ph/silver care marg-A693,767,1
A50019,EL Silver Care Marg 04,767,1
A50020,el SILVER CARE MARG,771,1
A50021,El Nasr Obour br.2,705,1
A50022,el nasr obour Mall,705,1
A50023,PY/El Nasr Obour,720,1
A50024,PY/El Nasr Obour 04,761,1
A50025,El Nasr Obour 6th Zone,772,2
A50026,Nile Care Zayed Station St.218,747,2
A50027,EL nile care zayed 6th Zone,756,1
A50028,P/NILE CARE ZAYED-A,757,1
A50029,Nile Care Zayed Mall,757,1
A50030,EL saalamtek Mall104,726,1
A50031,Salamtek 01165,730,1
A50032,salamtek 04,730,1
A50033,Salamtek Main Road196,739,2
A50034,El-salamtek-A,760,1
A50035,PH Salamtek br.2,760,1
A50036,el SALAMTEK,761,2
A50037,El-Salamtek,768,1
A50038,SALAMTEK br.2,772,3
A50039,Blue WWave,720,2
A50040,P/Blue Wave,720,2
A50041,El-Blue Wave-A915,741,1
A50042,el Blue Wave Branch 1,767,2
A50043,el Alpha Pharma Zayed br.2,701,1
A50044,alpha pharma zayedMall,720,3
A50045,el Alpha Pharma Zayed Branch 2,720,3
A50046,PY/Alpha Pharma Zayed 6th Zone,726,2
A50047,ALPHA PHARMA ZAYED-A,726,2
A50048,el Alpha Pharma Zayed,730,2
A50049,Ph/ALPHA PHARMA ZAYED Branch 1,776,1
A50050,ALLPHA PHARMA ZAYED 04,782,2
A50051,PY/alpha pharma zayed Branch 1,782,2
A50052,METRO 6th Zone,724,1
A50053,PH Metro Station St.,724,1
A50054,El-Metrro 011,729,1
A50055,metro 6th Zone,729,1
A50056,PY/Metro Station St.,740,1
A50057,Metro (2),741,2
A50058,PY/Metro,741,2
A50059,PY/metro Station St.,748,1
A50060,el METRO 04,751,1
A50061,el Metro Branch 2,753,2
A50062,PH Metro br.2293,760,2
A50063,METRO Station St.,760,2
A50064,Ph/Sunrise Agami,701,2
A50065,el Sunrise Agami br.2343,701,2
A50066,EL Sunrise Agami539,703,1
A50067,PY/SUNRISE GAMI,707,1
A50068,EL Sunrise Agami Branch 1,726,3
A50069,Sunrise Agami Branch 2296,726,3
A50070,El-Better Life Obour 011,732,1
A50071,El-Better Life Obour Station St.,732,1
A50072,El-BETTER LIFE OBOUR,735,1
A50073,Ph/BETTER LIFE OBOUR 011,755,1
A50074,Better Life Obour (2),763,1
A50075,BETTER LIFE OBOUR,771,2
A50076,Ph/BETTER LIFE OBOUR Main Road,771,2
A50077,El-BETTER LIFE OBOUR,772,4
A50078,Ph/BETTER LIFE OOUR Main Road,777,1
A50079,el El Zahraa Smouha Main Road,743,2
A50080,El Zaahraa Smouha-A,749,2
A50081,EL ZAHRAA SMOUHA-A,749,2
A50082,PY/El Zahraa Smouha 6th Zone,772,5
A50083,PH El Zahraa Smouha Mall,772,5
A50084,EL GOLDEN CARE SMOUHA Mall,713,1
A50085,golden care smouha 011,713,1
A50086,PH golden care smouha,727,1
A50087,golden care smouha Mall,727,1
A50088,Golden Care Smouha Main Road,740,2
A50089,EL golden care smouha,740,2
A50090,El-golden care smouha-A,755,2
A50091,PY/Golden Care Smouha Mall,755,2
A50092,EL Golden Care Smouha 011,760,3
A50093,el Gloden Care Smouha Mall,760,3
A50094,Ph/golden care smouha Branch 2513,761,3
A50095,El-GOLDEN CARE SMOUHA Mall,762,1
A50096,El-golden care smouha 011,762,1
A50097,METRO SMOUHAA br.2,704,2
A50098,el METRO SMOUHA-A,704,2
