branch_id,parent_company,branch_tag,governorate,area,min_order_value_egp,payment_terms_days,standard_discount_pct,fill_rate_gap_pct,merged_into_branch_id
700,Al-Nour Pharmaceutical Distribution,A700,Giza,Faisal,1500.0,7,13.4,7.0,
701,Al-Nour Pharmaceutical Distribution,B701,Alexandria,Smouha,1350.0,7,13.4,7.0,
702,Al-Nour Pharmaceutical Distribution,C702,Giza,Mohandessin,1320.0,7,13.4,7.0,
703,Blue Crescent Medical Supply Co.,A703,Alexandria,Smouha,3000.0,0,8.5,8.2,
704,Blue Crescent Medical Supply Co.,B704,Cairo,Nasr City,2730.0,0,8.5,8.2,
705,Blue Crescent Medical Supply Co.,C705,Alexandria,Smouha,3330.0,0,8.5,8.2,
706,Nile Med Wholesale,A706,Cairo,Nasr City,2500.0,30,20.6,7.2,
707,Tiba Distribution Group,A707,Giza,Faisal,1500.0,15,11.4,2.7,
708,Horus Pharm Agencies,A708,Giza,Faisal,1500.0,30,25.8,7.3,
709,Horus Pharm Agencies,B709,Alexandria,Smouha,1515.0,30,25.8,7.3,
710,Horus Pharm Agencies,C710,Giza,Faisal,1830.0,30,25.8,7.3,
711,El-Masria Trading Co.,A711,Giza,Mohandessin,3500.0,45,16.1,1.9,
712,El-Masria Trading Co.,B712,Cairo,Nasr City,3430.0,45,16.1,1.9,
713,El-Masria Trading Co.,C713,Cairo,Nasr City,3920.0,45,16.1,1.9,
714,Delta Union Agencies,A714,Alexandria,Smouha,2500.0,15,10.5,5.4,
715,Delta Union Agencies,B715,Giza,Mohandessin,3000.0,15,10.5,5.4,
716,Delta Union Agencies,C716,Alexandria,Smouha,2750.0,15,10.5,5.4,
717,Cairo Grand Supplies,A717,Giza,Faisal,1500.0,15,11.9,8.1,
718,Cairo Grand Supplies,B718,Giza,Mohandessin,1635.0,15,11.9,8.1,
719,Lotus Medcare Distribution,A719,Alexandria,Smouha,3500.0,7,22.5,8.3,
720,Lotus Medcare Distribution,B720,Giza,Mohandessin,3010.0,7,22.5,8.3,
721,Saraya Pharmaceutical Supply,A721,Cairo,Nasr City,3500.0,30,10.2,0.8,
722,Saraya Pharmaceutical Supply,B722,Giza,Mohandessin,4060.0,30,10.2,0.8,
723,Ramses Wholesale Partners,A723,Giza,Faisal,2500.0,30,10.8,0.9,
724,Ramses Wholesale Partners,B724,Cairo,Nasr City,2425.0,30,10.8,0.9,
725,White Nile Agencies,A725,Giza,Mohandessin,3500.0,0,21.9,3.1,
726,White Nile Agencies,B726,Giza,Mohandessin,4305.0,0,21.9,3.1,
727,White Nile Agencies,C727,Alexandria,Smouha,3675.0,0,21.9,3.1,
