alias_id,account_name,branch_id,supplier_code,pharmacy_id,match_score,match_method,match_status,match_evidence,parent_company,branch_tag
A50015,SILVER CARE MARG,753,1,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Falcon Wholesale Co.,C753
A50017,Silver Care Marg 6th Zone,754,1,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,October Central Supply,A754
A50035,PH Salamtek br.2,760,1,,78.57142857142857,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Two Rivers Distribution,C760
A50075,BETTER LIFE OBOUR,771,2,,79.06976744186046,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Marina Bay Trade,B771
A50076,Ph/BETTER LIFE OBOUR Main Road,771,2,,79.06976744186046,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Marina Bay Trade,B771
A50082,PY/El Zahraa Smouha 6th Zone,772,5,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Desert Bloom Suppliers,A772
A50083,PH El Zahraa Smouha Mall,772,5,,86.36363636363636,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Desert Bloom Suppliers,A772
A50086,PH golden care smouha,727,1,,87.5,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,White Nile Agencies,C727
A50087,golden care smouha Mall,727,1,,80.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,White Nile Agencies,C727
A50088,Golden Care Smouha Main Road,740,2,,80.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Green Delta Enterprises,A740
A50091,PY/Golden Care Smouha Mall,755,2,,80.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,October Central Supply,B755
A50094,Ph/golden care smouha Branch 2513,761,3,,80.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Supreme Shelf Logistics,A761
A50099,PH Metro Smouha Mall,714,1,,83.33333333333334,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Delta Union Agencies,A714
A50110,el UNION PHRAM REHAB VIEW Mall,722,1,,89.36170212765957,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Saraya Pharmaceutical Supply,B722
A50113,el Union Pharm Rehab View,732,2,,93.61702127659575,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Pyramid Health Supplies,C732
A50114,union pharm rehab view,732,2,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Pyramid Health Supplies,C732
A50115,Ph/Union Pharm Rehab View (2),767,3,,95.65217391304348,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Khufu Line Agencies,A767
A50150,PH Care 24 Seven,701,3,,89.65517241379311,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Al-Nour Pharmaceutical Distribution,B701
A50151,Care 24 Seven,705,3,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Blue Crescent Medical Supply Co.,C705
A50152,PH Care 24 Seven Branch 2,710,1,,89.65517241379311,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Horus Pharm Agencies,C710
A50153,CARE2 4 SEVEN 011622,710,1,,78.78787878787878,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Horus Pharm Agencies,C710
A50154,care 24 seven Branch 1,713,2,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,El-Masria Trading Co.,C713
A50155,Ph/CARE 24 SEVEN (2)38,713,2,,83.87096774193549,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,El-Masria Trading Co.,C713
A50156,Care 24 Seven,720,4,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Lotus Medcare Distribution,B720
A50157,Care 24 Seven Branch 2,720,4,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Lotus Medcare Distribution,B720
A50158,Care 24 Seven-A,737,2,,92.85714285714286,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Sinai Bridge Trading,A737
A50159,PH care 24 seven 011,781,2,,78.78787878787878,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Alex Marine Providers,B781
A50173,PH El Zahraa Smouha Branch 2,721,1,,86.36363636363636,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Saraya Pharmaceutical Supply,A721
A50174,PH El Zahraa Smouha br.2,742,2,,86.36363636363636,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Green Delta Enterprises,C742
A50177,el zahraa smouha Branch 2,765,1,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Basil Corner Providers,A765
A50194,El-care 24 seven,706,1,,89.65517241379311,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Nile Med Wholesale,A706
A50195,PY/care 24 seven 011451,726,4,,78.78787878787878,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,White Nile Agencies,B726
A50196,el care 24 seven 011,736,1,,80.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,United Bazaar Pharma,A736
A50197,el CARE 24 SEVEN,736,1,,89.65517241379311,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,United Bazaar Pharma,A736
A50199,Care 24 Seven-A,737,4,,92.85714285714286,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Sinai Bridge Trading,A737
A50200,Care 24 Seven 011,744,2,,86.66666666666667,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Horus Elite Logistics,B744
A50201,Care 24 Seven,744,2,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Horus Elite Logistics,B744
A50202,PH CCARE 24 SEVEN (2),749,4,,81.25,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Karnak Medical Trading,B749
A50203,care 24 seven 011,768,4,,86.66666666666667,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Ocean Front Distributors,A768
A50204,Care 24 Seven br.2,768,4,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Ocean Front Distributors,A768
A50205,Ph/Care 24 Seven 6th Zone,770,4,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Marina Bay Trade,A770
A50211,PH Hope Smouha br.234,704,5,,82.35294117647058,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Blue Crescent Medical Supply Co.,B704
A50212,PH Hope Smouha,735,3,,82.35294117647058,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Modern Chain Distributors,C735
A50239,Ph/BLUE WAVE SMOUHA,711,1,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,El-Masria Trading Co.,A711
A50240,Blue Wave Smouha Branch 2,713,3,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,El-Masria Trading Co.,C713
A50247,blue wave smouha 6th Zone,776,3,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Seven Palms Distribution,A776
A50283,El Faraby Smouha Branch 1,738,1,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Sinai Bridge Trading,B738
A50285,PH EL FARABY SMOUHA Station St.,748,4,,86.36363636363636,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Karnak Medical Trading,A748
A50310,El Faraby Smouha Branch 2,700,3,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Al-Nour Pharmaceutical Distribution,A700
A50315,el faraby smouha,722,4,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Saraya Pharmaceutical Supply,B722
A50318,El Faraby Smouha 6th Zone,746,2,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Southern Cross Pharma,B746
A50319,Ph/El Faraby Smouha,754,4,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,October Central Supply,A754
A50320,El Faraby Smouha br.2,754,4,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,October Central Supply,A754
A50334,PY/LIFE LINE HELWAN Station St.,772,7,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Desert Bloom Suppliers,A772
A50335,PY/union pharm,708,2,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Horus Pharm Agencies,A708
A50336,Ph/UNION PHARM,742,3,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Green Delta Enterprises,C742
A50337,union pharm Branch 2,742,3,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Green Delta Enterprises,C742
A50339,Ph/union pharm Main Road,747,4,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Southern Cross Pharma,C747
A50340,Union Pharm,753,5,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Falcon Wholesale Co.,C753
A50342,El-union pharm br.2,754,5,,88.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,October Central Supply,A754
A50343,el union pharm,754,5,,88.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,October Central Supply,A754
A50344,PH union pharm (2),768,6,,81.4814814814815,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Ocean Front Distributors,A768
A50345,UNION PHARM-A,768,6,,91.66666666666666,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Ocean Front Distributors,A768
A50346,EL Union Pharm,776,4,,88.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Seven Palms Distribution,A776
A50350,PH El Nasr Smouha Station St.,775,5,,85.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Corner Stone Medical,A775
A50358,PH mira banha br.2949,757,4,,81.25,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Al Wadi Medical Providers,B757
A50376,union pharm 011,718,1,,84.61538461538461,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Cairo Grand Supplies,B718
A50377,PY/Union Pharm Station St.,726,5,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,White Nile Agencies,B726
A50379,Union Pharm Main Road,752,3,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Falcon Wholesale Co.,B752
A50381,Union Pharm,770,7,,100.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Marina Bay Trade,A770
A50383,PH UNION PHARM Branch 2,773,4,,88.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Desert Bloom Suppliers,B773
A50384,EL Union Pharm Branch 2,777,5,,88.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Seven Palms Distribution,B777
A50385,El-Union Pharm,780,3,,88.0,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Alex Marine Providers,A780
A50394,PY/Dr Medhat Smouha Mall,735,5,,78.04878048780488,ambiguous_registry_name,AMBIGUOUS,ambiguous_registry_name,Modern Chain Distributors,C735
