pharmacy_id,registry_name,governorate,area,canonical_name,registry_area,resolved_area,area_source,area_confidence,vote_breakdown,area_conflict,evidence_count,conflicting_area_count
1000,Misr Pharmacy - Smouha,Alexandria,Smouha,Misr Pharmacy - Smouha,Smouha,Smouha,registry,high,{},False,0,0
1001,El Nasr Pharmacy,,,El Nasr Pharmacy,,,,,{},False,0,0
1002,Silver Care Pharmacy - Marg,Alexandria,Smouha,Silver Care Pharmacy - Marg,Smouha,Smouha,registry_conflict,conflict,"{'Nasr City': {'erp_account_address': 2, 'erp_ship_to_address': 2}}",True,3,1
1003,El Nasr Pharmacy - Obour,,,El Nasr Pharmacy - Obour,,,,,{},False,0,0
1004,Nile Care Pharmacy - Zayed,,,Nile Care Pharmacy - Zayed,,,,,{},False,0,0
1005,Salamtek Pharmacy,,,Salamtek Pharmacy,,,,,{},False,0,0
1006,Blue Wave Pharmacy,,,Blue Wave Pharmacy,,,,,{},False,0,0
1007,Alpha Pharma - Zayed,Alexandria,Smouha,Alpha Pharma - Zayed,Smouha,Smouha,registry,high,"{'Smouha': {'erp_header_area': 12, 'erp_account_address': 14, 'erp_ship_to_address': 43}}",False,54,0
1008,Metro Pharmacy,Alexandria,Smouha,Metro Pharmacy,Smouha,Smouha,registry,high,{},False,0,0
1009,Sunrise Pharmacy - Agami,,,Sunrise Pharmacy - Agami,,,,,{},False,0,0
1010,Better Life Pharmacy - Obour,Alexandria,Smouha,Better Life Pharmacy - Obour,Smouha,Smouha,registry,high,{},False,0,0
1011,El Zahraa Pharmacy - Smouha,Alexandria,Smouha,El Zahraa Pharmacy - Smouha,Smouha,Smouha,registry,high,{},False,0,0
1012,Golden Care Pharmacy - Smouha,Alexandria,Smouha,Golden Care Pharmacy - Smouha,Smouha,Smouha,registry,high,{},False,0,0
1013,Metro Pharmacy - Smouha,,,Metro Pharmacy - Smouha,,,,,{},False,0,0
1014,Union Pharm - Rehab View,,,Union Pharm - Rehab View,,,,,{},False,0,0
1015,Omega Pharmacy - Smouha,Alexandria,Smouha,Omega Pharmacy - Smouha,Smouha,Smouha,registry,high,{},False,0,0
1016,Al Nozha Pharmacy - Smouha,Alexandria,Smouha,Al Nozha Pharmacy - Smouha,Smouha,Smouha,registry,high,{},False,0,0
1017,El Zahraa Pharmacy - Maadi,Alexandria,Smouha,El Zahraa Pharmacy - Maadi,Smouha,Smouha,registry,high,"{'Smouha': {'erp_header_area': 3, 'erp_account_address': 4, 'erp_ship_to_address': 34}}",False,37,0
1018,Metro Pharmacy - Agami,Alexandria,Smouha,Metro Pharmacy - Agami,Smouha,Smouha,registry,high,{},False,0,0
1019,Care 24 Seven,,,Care 24 Seven,,,,,{},False,0,0
1020,Omega Pharmacy,Alexandria,Smouha,Omega Pharmacy,Smouha,Smouha,registry,high,{},False,0,0
1021,El Nasr Pharmacy - Marg,,,El Nasr Pharmacy - Marg,,,,,{},False,0,0
1022,El Zahraa Pharmacy - Smouha,,,El Zahraa Pharmacy - Smouha,,,,,{},False,0,0
1023,Al Amal Pharmacy,Alexandria,Smouha,Al Amal Pharmacy,Smouha,Smouha,registry,high,{},False,0,0
1024,Care 24 Seven,,,Care 24 Seven,,,,,{},False,0,0
1025,Elite Pharmacy,,,Elite Pharmacy,,,,,{},False,0,0
1026,Hope Pharmacy - Smouha,Alexandria,Smouha,Hope Pharmacy - Smouha,Smouha,Smouha,registry,high,{},False,0,0
1027,El Tourath Pharmacy,Alexandria,Smouha,El Tourath Pharmacy,Smouha,Smouha,registry,high,{},False,0,0
1028,Health Gate Pharmacy,Alexandria,Smouha,Health Gate Pharmacy,Smouha,Smouha,registry,high,{},False,0,0
1029,Al Nozha Pharmacy - Smouha,Alexandria,Smouha,Al Nozha Pharmacy - Smouha,Smouha,Smouha,registry,high,{},False,0,0
1030,Blue Wave Pharmacy - Smouha,Alexandria,Smouha,Blue Wave Pharmacy - Smouha,Smouha,Smouha,registry,high,{},False,0,0
1031,Omega Pharmacy,Alexandria,Smouha,Omega Pharmacy,Smouha,Smouha,registry,high,{},False,0,0
1032,Silver Care Pharmacy,,,Silver Care Pharmacy,,,,,{},False,0,0
1033,Blue Wave Pharmacy - Banha,,,Blue Wave Pharmacy - Banha,,,,,{},False,0,0
1034,El Faraby Pharmacy - Smouha,,,El Faraby Pharmacy - Smouha,,,,,{},False,0,0
1035,Misr Pharmacy - Smouha,Alexandria,Smouha,Misr Pharmacy - Smouha,Smouha,Smouha,registry,high,{},False,0,0
1036,Star Care Pharmacy - Smouha,,,Star Care Pharmacy - Smouha,,,,,{},False,0,0
1037,El Faraby Pharmacy - Smouha,,,El Faraby Pharmacy - Smouha,,,,,{},False,0,0
1038,El Faraby Pharmacy - Obour,Alexandria,Smouha,El Faraby Pharmacy - Obour,Smouha,Smouha,registry,high,{},False,0,0
1039,Life Line Pharmacy - Helwan,Alexandria,Smouha,Life Line Pharmacy - Helwan,Smouha,Smouha,registry_conflict,conflict,"{'Faisal': {'erp_account_address': 4, 'erp_ship_to_address': 9}}",True,11,1
1040,Union Pharm,Alexandria,Smouha,Union Pharm,Smouha,Smouha,registry,high,{},False,0,0
1041,El Nasr Pharmacy - Smouha,Alexandria,Smouha,El Nasr Pharmacy - Smouha,Smouha,Smouha,registry,high,{},False,0,0
1042,Mira Pharmacy - Banha,,,Mira Pharmacy - Banha,,,,,{},False,0,0
1043,Omega Pharmacy,,,Omega Pharmacy,,,,,{},False,0,0
1044,El Shifa Pharmacy,Alexandria,Smouha,El Shifa Pharmacy,Smouha,Smouha,registry,high,{},False,0,0
1045,Union Pharm,Alexandria,Smouha,Union Pharm,Smouha,Smouha,registry,high,{},False,0,0
1046,Health Gate Pharmacy - Oct City,Alexandria,Smouha,Health Gate Pharmacy - Oct City,Smouha,Smouha,registry,high,{},False,0,0
1047,Dr Medhat Pharmacy - Smouha,,,Dr Medhat Pharmacy - Smouha,,,,,{},False,0,0
1048,Health Gate Pharmacy - Smouha,,,Health Gate Pharmacy - Smouha,,,,,{},False,0,0
1049,Metro Pharmacy - Oct City,,,Metro Pharmacy - Oct City,,,,,{},False,0,0
