alias_id,account_name,branch_id,supplier_code,pharmacy_id,match_score,match_method,match_status,match_evidence,parent_company,branch_tag
A50007,EL NASR Main Road,749,1,2801,82.35294117647058,direct_match,MATCHED,direct_match,Karnak Medical Trading,B749
A50008,PH El Nasr 6th Zone,749,1,2801,100.0,direct_match,MATCHED,direct_match,Karnak Medical Trading,B749
A50009,El Nasr,766,1,2801,82.35294117647058,direct_match,MATCHED,direct_match,Basil Corner Providers,B766
A50013,Silver Care Marg Branch 2,704,1,1495,78.04878048780488,area_disambiguated,MATCHED,area_disambiguated,Blue Crescent Medical Supply Co.,B704
A50043,el Alpha Pharma Zayed br.2,701,1,1007,92.3076923076923,direct_match,MATCHED,direct_match,Al-Nour Pharmaceutical Distribution,B701
A50044,alpha pharma zayedMall,720,3,1007,90.0,direct_match,MATCHED,direct_match,Lotus Medcare Distribution,B720
A50045,el Alpha Pharma Zayed Branch 2,720,3,1007,92.3076923076923,direct_match,MATCHED,direct_match,Lotus Medcare Distribution,B720
A50046,PY/Alpha Pharma Zayed 6th Zone,726,2,1007,100.0,exact_registry_name,MATCHED,exact_registry_name,White Nile Agencies,B726
A50047,ALPHA PHARMA ZAYED-A,726,2,1007,94.73684210526316,direct_match,MATCHED,direct_match,White Nile Agencies,B726
A50048,el Alpha Pharma Zayed,730,2,1007,92.3076923076923,direct_match,MATCHED,direct_match,Pyramid Health Supplies,A730
A50049,Ph/ALPHA PHARMA ZAYED Branch 1,776,1,1007,100.0,exact_registry_name,MATCHED,exact_registry_name,Seven Palms Distribution,A776
A50050,ALLPHA PHARMA ZAYED 04,782,2,1007,90.0,direct_match,MATCHED,direct_match,Summit Crest Trading,A782
A50051,PY/alpha pharma zayed Branch 1,782,2,1007,100.0,exact_registry_name,MATCHED,exact_registry_name,Summit Crest Trading,A782
A50108,E-UNION PHARM REHAB VIEW-A,705,2,1120,91.66666666666666,area_disambiguated,MATCHED,area_disambiguated,Blue Crescent Medical Supply Co.,C705
A50109,Ph/Union Pharm Rehab View,714,2,1120,100.0,area_disambiguated,MATCHED,area_disambiguated,Delta Union Agencies,A714
A50111,UNION PHARM REHAB VIEW br.2,727,3,1120,100.0,area_disambiguated,MATCHED,area_disambiguated,White Nile Agencies,C727
A50112,EL union pharm rehab vieww 011,727,3,1120,84.61538461538461,area_disambiguated,MATCHED,area_disambiguated,White Nile Agencies,C727
A50123,PH Al Nozha Smouha Branch 2,733,1,2822,100.0,direct_match,MATCHED,direct_match,Modern Chain Distributors,A733
A50124,El-Al Nozha Smouha Branch 1,760,4,2822,83.33333333333334,direct_match,MATCHED,direct_match,Two Rivers Distribution,C760
A50127,Al Nozha Smouha br.2,769,1,2822,90.9090909090909,direct_match,MATCHED,direct_match,Ocean Front Distributors,B769
A50128,PH el zahraa maadi 04,716,1,1017,80.0,area_disambiguated,MATCHED,area_disambiguated,Delta Union Agencies,C716
A50216,el el tourath (2),717,1,2815,81.25,direct_match,MATCHED,direct_match,Cairo Grand Supplies,A717
A50228,EL Al Nozha Smouha,701,5,2822,83.33333333333334,direct_match,MATCHED,direct_match,Al-Nour Pharmaceutical Distribution,B701
A50229,el AL NOZHA SMOUHA Branch 1,702,1,2822,83.33333333333334,direct_match,MATCHED,direct_match,Al-Nour Pharmaceutical Distribution,C702
A50230,al nozha smouha Station St.,702,1,2822,90.9090909090909,direct_match,MATCHED,direct_match,Al-Nour Pharmaceutical Distribution,C702
A50231,PY/Al Nozha Smouha 04,729,2,2822,83.33333333333334,direct_match,MATCHED,direct_match,Delta Star Medical Trade,B729
A50233,El-Al Nozha Smouha Main Road,757,2,2822,83.33333333333334,direct_match,MATCHED,direct_match,Al Wadi Medical Providers,B757
A50234,AL NOZHA SMOUHA StationSt.,762,3,2822,90.9090909090909,direct_match,MATCHED,direct_match,Supreme Shelf Logistics,B762
A50236,PY/Al Nozha Smouh Main Road,773,1,2822,87.5,direct_match,MATCHED,direct_match,Desert Bloom Suppliers,B773
A50237,PH Al Nozha Smouha Mall,777,3,2822,100.0,direct_match,MATCHED,direct_match,Seven Palms Distribution,B777
A50238,Al Nozha Smouha,779,1,2822,90.9090909090909,direct_match,MATCHED,direct_match,Iron Gate Wholesale,A779
A50244,Ph/Blue Wave Smouha 6th Zone,737,5,2259,78.04878048780488,area_disambiguated,MATCHED,area_disambiguated,Sinai Bridge Trading,A737
A50260,PH Silver Care,719,1,1191,82.35294117647058,area_disambiguated,MATCHED,area_disambiguated,Lotus Medcare Distribution,A719
A50297,PH STAR CARE SMOUHA Main Road,703,4,1359,86.36363636363636,area_disambiguated,MATCHED,area_disambiguated,Blue Crescent Medical Supply Co.,A703
A50302,Star Care Smouha 6th Zone,727,5,1359,78.04878048780488,area_disambiguated,MATCHED,area_disambiguated,White Nile Agencies,C727
