alias_id,account_name,branch_id,supplier_code,pharmacy_id,match_score,match_method,match_status,match_evidence,parent_company,branch_tag
A50001,PY/Misr Smouha Mall,739,1,,0.0,below_threshold,UNMATCHED,below_threshold,Sinai Bridge Trading,C739
A50002,MISR SMOUHA-A,739,1,,0.0,below_threshold,UNMATCHED,below_threshold,Sinai Bridge Trading,C739
A50003,PH Misr Smouha-A,747,1,,0.0,below_threshold,UNMATCHED,below_threshold,Southern Cross Pharma,C747
A50004,EL Misr Smouha Main Road,747,1,,0.0,below_threshold,UNMATCHED,below_threshold,Southern Cross Pharma,C747
A50005,Ph/misr smouha Station St.,772,1,,0.0,below_threshold,UNMATCHED,below_threshold,Desert Bloom Suppliers,A772
A50006,misr smouha Main Road,772,1,,0.0,below_threshold,UNMATCHED,below_threshold,Desert Bloom Suppliers,A772
A50010,EL NASR BBranch 2,766,1,,0.0,below_threshold,UNMATCHED,below_threshold,Basil Corner Providers,B766
A50011,El-El Nasr Branch 2,782,1,,0.0,below_threshold,UNMATCHED,below_threshold,Summit Crest Trading,A782
A50012,el Silver Care Marg Branch 1,704,1,,0.0,below_threshold,UNMATCHED,below_threshold,Blue Crescent Medical Supply Co.,B704
A50014,El-silver care marg Station St.,743,1,,0.0,below_threshold,UNMATCHED,below_threshold,Horus Elite Logistics,A743
A50016,Ph/Silver Care Marg-A,753,1,,0.0,below_threshold,UNMATCHED,below_threshold,Falcon Wholesale Co.,C753
A50018,Ph/silver care marg-A693,767,1,,0.0,below_threshold,UNMATCHED,below_threshold,Khufu Line Agencies,A767
A50019,EL Silver Care Marg 04,767,1,,0.0,below_threshold,UNMATCHED,below_threshold,Khufu Line Agencies,A767
A50020,el SILVER CARE MARG,771,1,,0.0,below_threshold,UNMATCHED,below_threshold,Marina Bay Trade,B771
A50021,El Nasr Obour br.2,705,1,,0.0,below_threshold,UNMATCHED,below_threshold,Blue Crescent Medical Supply Co.,C705
A50022,el nasr obour Mall,705,1,,0.0,below_threshold,UNMATCHED,below_threshold,Blue Crescent Medical Supply Co.,C705
A50023,PY/El Nasr Obour,720,1,,0.0,below_threshold,UNMATCHED,below_threshold,Lotus Medcare Distribution,B720
A50024,PY/El Nasr Obour 04,761,1,,0.0,below_threshold,UNMATCHED,below_threshold,Supreme Shelf Logistics,A761
A50025,El Nasr Obour 6th Zone,772,2,,0.0,below_threshold,UNMATCHED,below_threshold,Desert Bloom Suppliers,A772
A50026,Nile Care Zayed Station St.218,747,2,,0.0,below_threshold,UNMATCHED,below_threshold,Southern Cross Pharma,C747
A50027,EL nile care zayed 6th Zone,756,1,,0.0,below_threshold,UNMATCHED,below_threshold,Al Wadi Medical Providers,A756
A50028,P/NILE CARE ZAYED-A,757,1,,0.0,below_threshold,UNMATCHED,below_threshold,Al Wadi Medical Providers,B757
A50029,Nile Care Zayed Mall,757,1,,0.0,below_threshold,UNMATCHED,below_threshold,Al Wadi Medical Providers,B757
A50030,EL saalamtek Mall104,726,1,,0.0,below_threshold,UNMATCHED,below_threshold,White Nile Agencies,B726
A50031,Salamtek 01165,730,1,,0.0,below_threshold,UNMATCHED,below_threshold,Pyramid Health Supplies,A730
A50032,salamtek 04,730,1,,0.0,below_threshold,UNMATCHED,below_threshold,Pyramid Health Supplies,A730
A50033,Salamtek Main Road196,739,2,,0.0,below_threshold,UNMATCHED,below_threshold,Sinai Bridge Trading,C739
A50034,El-salamtek-A,760,1,,0.0,below_threshold,UNMATCHED,below_threshold,Two Rivers Distribution,C760
A50036,el SALAMTEK,761,2,,0.0,below_threshold,UNMATCHED,below_threshold,Supreme Shelf Logistics,A761
A50037,El-Salamtek,768,1,,0.0,below_threshold,UNMATCHED,below_threshold,Ocean Front Distributors,A768
A50038,SALAMTEK br.2,772,3,,0.0,below_threshold,UNMATCHED,below_threshold,Desert Bloom Suppliers,A772
A50039,Blue WWave,720,2,,0.0,below_threshold,UNMATCHED,below_threshold,Lotus Medcare Distribution,B720
A50040,P/Blue Wave,720,2,,0.0,below_threshold,UNMATCHED,below_threshold,Lotus Medcare Distribution,B720
A50041,El-Blue Wave-A915,741,1,,0.0,below_threshold,UNMATCHED,below_threshold,Green Delta Enterprises,B741
A50042,el Blue Wave Branch 1,767,2,,0.0,below_threshold,UNMATCHED,below_threshold,Khufu Line Agencies,A767
A50052,METRO 6th Zone,724,1,,0.0,below_threshold,UNMATCHED,below_threshold,Ramses Wholesale Partners,B724
A50053,PH Metro Station St.,724,1,,0.0,below_threshold,UNMATCHED,below_threshold,Ramses Wholesale Partners,B724
A50054,El-Metrro 011,729,1,,0.0,below_threshold,UNMATCHED,below_threshold,Delta Star Medical Trade,B729
A50055,metro 6th Zone,729,1,,0.0,below_threshold,UNMATCHED,below_threshold,Delta Star Medical Trade,B729
A50056,PY/Metro Station St.,740,1,,0.0,below_threshold,UNMATCHED,below_threshold,Green Delta Enterprises,A740
A50057,Metro (2),741,2,,0.0,below_threshold,UNMATCHED,below_threshold,Green Delta Enterprises,B741
A50058,PY/Metro,741,2,,0.0,below_threshold,UNMATCHED,below_threshold,Green Delta Enterprises,B741
A50059,PY/metro Station St.,748,1,,0.0,below_threshold,UNMATCHED,below_threshold,Karnak Medical Trading,A748
A50060,el METRO 04,751,1,,0.0,below_threshold,UNMATCHED,below_threshold,Falcon Wholesale Co.,A751
A50061,el Metro Branch 2,753,2,,0.0,below_threshold,UNMATCHED,below_threshold,Falcon Wholesale Co.,C753
A50062,PH Metro br.2293,760,2,,0.0,below_threshold,UNMATCHED,below_threshold,Two Rivers Distribution,C760
A50063,METRO Station St.,760,2,,0.0,below_threshold,UNMATCHED,below_threshold,Two Rivers Distribution,C760
A50064,Ph/Sunrise Agami,701,2,,0.0,below_threshold,UNMATCHED,below_threshold,Al-Nour Pharmaceutical Distribution,B701
