invoice_no,account_name,branch_code,pharmacy_id,alias_id,supplier_code,match_score,match_method,match_status,entry_date,total_after_discount,record_state
300005,PH misr msouha Station SSt.,764,,,,0.0,unmatched,UNMATCHED,03092024,2133.64,
300006,MISR SMOUHA,754,,,,0.0,unmatched,UNMATCHED,03-Sep-2024,4257.68,CLSD
300012,EL PHARMA WH-73,703,,,,0.0,unmatched,UNMATCHED,07092024,1339.05,CLSD
300013,El-PharmaP lus,705,,,,0.0,unmatched,UNMATCHED,16092024,3087.6,
300018,El-EL FARABY SMOUHA Mall,740,,,,0.0,unmatched,UNMATCHED,16092024,2946.48,
300026,Misr Smouhh Mall,761,,,,0.0,unmatched,UNMATCHED,16092024,2465.83,
300028,PY/OMEGA OCT CITY 011,732,,,,0.0,unmatched,UNMATCHED,06092024,3521.75,CLSD
300030,PH/LIFE LINE WH-91,725,,,,0.0,unmatched,UNMATCHED,07092024,3182.03,CLSD
300035,PY/FAMILY NOZHA WH-96,714,,,,0.0,unmatched,UNMATCHED,05092024,2525.12,CLSD
300039,Ph/mira marg StationS t.,760,,,,0.0,unmatched,UNMATCHED,14092024,2059.06,CLSD
300045,E LHope 6th Zone474,768,,,,0.0,unmatched,UNMATCHED,08092024,4600.95,
300057,el city care montaza Mall135,736,,,,0.0,unmatched,UNMATCHED,24092024,2359.85,CLSD
300062,el Mra Barnch 2,718,,,,0.0,unmatched,UNMATCHED,06092024,686.81,CLSD
300063,PY/Fammily Nasr Main Road,752,,,,0.0,unmatched,UNMATCHED,08092024,2372.8,
300064,PY/Family Nasr Branch 2,717,,,,0.0,unmatched,UNMATCHED,09-Sep-2024,1734.96,
300074,PY/DR MEDHAT NOZAH 04,769,,,,0.0,unmatched,UNMATCHED,02092024,5775.37,
300081,El Zahraa011,704,,,,0.0,unmatched,UNMATCHED,22-Sep-2024,1439.32,
300095,EL Sunrise Agami,755,,,,0.0,unmatched,UNMATCHED,15092024,740.03,
300096,ele l bbaraka faisal,762,,,,0.0,unmatched,UNMATCHED,20092024,2828.08,CLSD
300103,SUNRISE Branch 1,768,,,,0.0,unmatched,UNMATCHED,03092024,2551.51,
300117,El Faraby Mohandessin Brancch 1,705,,,,0.0,unmatched,UNMATCHED,15092024,4696.75,
300127,Ph/BETTER LIFE MOHANDESSIN Branch 2,751,,,,0.0,unmatched,UNMATCHED,26092024,1294.58,CLSD
300129,Ph/Life Line,758,,,,0.0,unmatched,UNMATCHED,22092024,239.47,
300133,EL Angel Nozha Main Road,721,,,,0.0,unmatched,UNMATCHED,26-Sep-2024,1861.81,
300158,PY/EL SHIFA DOKKI Main Road212,775,,,,0.0,unmatched,UNMATCHED,11102024,3352.97,
300179,El-Sunrise Smouha-A197,723,,,,0.0,unmatched,UNMATCHED,26102024,2622.77,
300183,Nile Care Dokki Branch 1,703,,,,0.0,unmatched,UNMATCHED,10102024,2982.5,CLSD
300184,health gate shubra 011,746,,,,0.0,unmatched,UNMATCHED,20102024,1520.71,
300189,El-FAMILY SMOUHA Branch 1116,731,,,,0.0,unmatched,UNMATCHED,15102024,3163.01,CLSD
300193,PY/Blue Wave Main Road,717,,,,0.0,unmatched,UNMATCHED,28102024,627.03,
300209,PH EL WH-270,741,,,,0.0,unmatched,UNMATCHED,04102024,3409.06,
300223,EL Sunrise Oct Cit yBrranch 1,709,,,,0.0,unmatched,UNMATCHED,24-Oct-2024,2353.01,
300235,PY/PHARMA PLUS (2)136,771,,,,0.0,unmatched,UNMATCHED,06102024,3822.82,
300236,EL HOKAMA NASR Mall,742,,,,0.0,unmatched,UNMATCHED,02102024,2292.15,
300237,El Hokama Nsar,716,,,,0.0,unmatched,UNMATCHED,16102024,1345.51,CLSD
300258,EL ELITE NASR Station St.40,746,,,,0.0,unmatched,UNMATCHED,07102024,2161.23,CLSD
300263,PY/care 24 seven-A,727,,,,0.0,unmatched,UNMATCHED,13102024,4739.23,
300267,el angeel nasr,702,,,,0.0,unmatched,UNMATCHED,24102024,911.58,CLSD
300275,PY/CITY CARE Mall,706,,,,0.0,unmatched,UNMATCHED,19102024,7694.05,CLSD
300276,el Al Amal Mall,744,,,,0.0,unmatched,UNMATCHED,07102024,1222.45,
300282,PY/Ebn Sina Faisal Branch 1,745,,,,0.0,unmatched,UNMATCHED,17102024,2356.8,
300286,PYp/harma plus zayed 6th Zone,741,,,,0.0,unmatched,UNMATCHED,12-Oct-2024,961.34,CLSD
300292,el Faily br.2,700,,,,0.0,unmatched,UNMATCHED,16-Oct-2024,315.01,CLSD
300293,el Faily  br.2,748,,,,0.0,unmatched,UNMATCHED,10102024,3055.33,CLSD
300307,FAMILY NOZHA WH-368,782,,,,0.0,unmatched,UNMATCHED,03102024,2079.26,CLSD
300310,El-Care 24 Seven 011,719,,,,0.0,unmatched,UNMATCHED,14102024,6191.65,CLSD
300315,EL Green Leaf Branch 2,735,,,,0.0,unmatched,UNMATCHED,06102024,6074.04,CLSD
300320,PH EBN WH-381,729,,,,0.0,unmatched,UNMATCHED,09-Oct-2024,4933.13,CLSD
300330,Sunise Agami Mall,779,,,,0.0,unmatched,UNMATCHED,19102024,537.64,
300332,el El Faraby Faisal 6th Zone940,753,,,,0.0,unmatched,UNMATCHED,27102024,1894.47,CLSD
300333,El-Golden Care Mlal,749,,,,0.0,unmatched,UNMATCHED,19102024,4214.94,
300339,metro faisalStation St.,712,,,,0.0,unmatched,UNMATCHED,13102024,1751.76,CLSD
300347,EL El Tourath Zayed,717,,,,0.0,unmatched,UNMATCHED,02102024,3676.81,
300354,omegaa rehab view 04,761,,,,0.0,unmatched,UNMATCHED,24102024,3477.8,CLSD
300357,PY/Green Leaf Mohndessin,727,,,,0.0,unmatched,UNMATCHED,27102024,1842.04,CLSD
300373,Mira,704,,,,0.0,unmatched,UNMATCHED,10102024,1812.91,CLSD
300387,ELa l amal (2),756,,,,0.0,unmatched,UNMATCHED,02102024,1060.03,
300393,El-Nilee Care Imbaba,707,,,,0.0,unmatched,UNMATCHED,07102024,1139.92,
300394,NILE CARE MOHANNDESSIN Main Road,728,,,,0.0,unmatched,UNMATCHED,05102024,1508.7,
300402,Care 24 Seeven Mall,764,,,,0.0,unmatched,UNMATCHED,12102024,1275.94,CLSD
300403,Ph//al nozha Mall,725,,,,0.0,unmatched,UNMATCHED,04102024,1756.85,CLSD
300407,misr mhandessin Mall,761,,,,0.0,unmatched,UNMATCHED,15-Oct-2024,5951.63,CLSD
300408,el OMGA MOHANDESSIN 011,749,,,,0.0,unmatched,UNMATCHED,13-Oct-2024,5245.11,
300416,Care 24 Seven,766,,,,0.0,unmatched,UNMATCHED,21112024,1623.05,CLSD
300421,EL EL NASR MARG Main Road,782,,,,0.0,unmatched,UNMATCHED,03112024,3573.08,
300426,Metro Oct City Stato St.686,752,,,,0.0,unmatched,UNMATCHED,17112024,842.06,
300429,GOLDEN CRAE,751,,,,0.0,unmatched,UNMATCHED,20112024,2917.8,
300432,PY/Care 24 Seven,716,,,,0.0,unmatched,UNMATCHED,08112024,2570.33,
300449,PH Blue Wave Maadi,700,,,,0.0,ambiguous_exact_name,AMBIGUOUS,07-Nov-2024,2037.68,
300459,El-EL FARABY SMOUHA 011,766,,,,0.0,unmatched,UNMATCHED,27-Nov-2024,2067.64,CLSD
300460,Union Pharm Faisal,757,,,,0.0,unmatched,UNMATCHED,03112024,2512.82,
300463,el Sunrise Smouha Main Road,714,,,,0.0,unmatched,UNMATCHED,10112024,1075.73,CLSD
300474,el Omega Smouha,729,,,,0.0,unmatched,UNMATCHED,08112024,5655.23,CLSD
300476,EL Silvre Care Smouha,751,,,,0.0,unmatched,UNMATCHED,05112024,1991.27,
300492,PY/Elite Branch 14493,778,,,,0.0,unmatched,UNMATCHED,22112024,1619.68,CLSD
300493,Ph/elite,764,,,,0.0,unmatched,UNMATCHED,07112024,4951.9,
300495,Ph/misr smouha 6t hZoone,734,,,,0.0,unmatched,UNMATCHED,19112024,7232.6,CLSD
300500,Angel Dokk-A,701,,,,0.0,unmatched,UNMATCHED,15112024,3453.88,CLSD
300502,PY/HEALTH GATE618,745,,,,0.0,unmatched,UNMATCHED,27112024,7327.02,
300506,PY/City Care Zayed Mall,756,,,,0.0,unmatched,UNMATCHED,23112024,7422.46,
300510,El-EEL NASR MAADI 011,773,,,,0.0,unmatched,UNMATCHED,11112024,2659.69,CLSD
300518,Hope01 1,779,,,,0.0,unmatched,UNMATCHED,19112024,6385.36,
300536,el nasr oct city (2),712,,,,0.0,unmatched,UNMATCHED,08112024,3701.67,
300550,el Star Care Faisal 011,706,,,,0.0,unmatched,UNMATCHED,14112024,2809.47,CLSD
300554,Elite Nasr Mall,753,,,,0.0,unmatched,UNMATCHED,23112024,2349.61,CLSD
300559,Ph/Siilver Care Square,762,,,,0.0,unmatched,UNMATCHED,28112024,2005.93,CLSD
300563,Ph/Siilver Care Square,701,,,,0.0,unmatched,UNMATCHED,04112024,2312.58,
300566,el SILVER CAREE ZAYED 04,756,,,,0.0,unmatched,UNMATCHED,21112024,1377.9,CLSD
300567,el shifa nozha Main Road,716,,,,0.0,unmatched,UNMATCHED,20112024,3843.91,CLSD
300570,PY/city care nasr 011984,773,,,,0.0,unmatched,UNMATCHED,01112024,8060.89,
300604,GREEN LEAF SQUARE (2),730,,,,0.0,unmatched,UNMATCHED,20112024,1247.03,CLSD
300610,PH better life nasr-A,708,,,,0.0,unmatched,UNMATCHED,23112024,2799.15,CLSD
300611,PY/Elite Station St.,750,,,,0.0,unmatched,UNMATCHED,15112024,1805.31,CLSD
300616,PH LIFE LINE FAISAL (2),703,,,,0.0,unmatched,UNMATCHED,22112024,4873.87,CLSD
300619,El Hoakma,717,,,,0.0,unmatched,UNMATCHED,18112024,2273.22,CLSD
300622,EL SUNRISE FAISAL 011,757,,,,0.0,unmatched,UNMATCHED,23112024,5979.02,CLSD
300632,GOLDEN CARE FAISAL 011,718,,,,0.0,unmatched,UNMATCHED,19112024,1445.95,
300641,el SEHA FIRST FAIASL,777,,,,0.0,unmatched,UNMATCHED,27112024,3514.57,
300642,Seha First Faisal-A,746,,,,0.0,unmatched,UNMATCHED,06112024,3870.28,
300649,Ph/pharma plus-A,722,,,,0.0,unmatched,UNMATCHED,01112024,955.47,
300655,PY/care 24 seven 6th Zone,742,,,,0.0,unmatched,UNMATCHED,26112024,2984.39,CLSD
300656,PY/CARE 24 WH-717,758,,,,0.0,unmatched,UNMATCHED,01-Nov-2024,1017.6,
300657,el SILVER CARE,704,,,,0.0,unmatched,UNMATCHED,06112024,5896.25,
300659,PY/E lBaraka Marg Mall,745,,,,0.0,unmatched,UNMATCHED,04112024,4478.47,CLSD
300660,EL El Baraka Marg 04,781,,,,0.0,unmatched,UNMATCHED,10112024,6474.45,CLSD
300661,EL el baraka marg,711,,,,0.0,unmatched,UNMATCHED,09112024,4118.13,
300674,Nile Care Faisal-A667,739,,,,0.0,unmatched,UNMATCHED,09-Nov-2024,1278.36,CLSD
300675,PY/Star are Mall,730,,,,0.0,unmatched,UNMATCHED,12112024,2777.4,
300677,PH/SILVER CARE WH-738,777,,,,0.0,unmatched,UNMATCHED,01112024,2701.0,CLSD
300679,El Hoakma 011,724,,,,0.0,unmatched,UNMATCHED,10-Nov-2024,2603.9,CLSD
300683,Sunrise Agmai 011,746,,,,0.0,unmatched,UNMATCHED,24112024,2304.92,CLSD
300692,PH e lhokama dokki (2),745,,,,0.0,unmatched,UNMATCHED,13-Nov-2024,1917.91,
300696,Ph/el zahraa nozha Mall,741,,,,0.0,unmatched,UNMATCHED,03112024,1255.38,
300703,EL Meto Faisal (2)424,721,,,,0.0,unmatched,UNMATCHED,15112024,3282.71,
300704,Ph/Mira Agami,750,,,,0.0,unmatched,UNMATCHED,03-Nov-2024,3326.12,
300711,Blue Wave Smouha,769,,,,0.0,unmatched,UNMATCHED,08112024,8410.07,
300714,PY/al nozha Branch 2,716,,,,0.0,unmatched,UNMATCHED,12-Nov-2024,8835.68,CLSD
300732,lif eline mohandessin-A,702,,,,0.0,unmatched,UNMATCHED,04112024,4403.62,
300734,life line mohandessin Mlal844,767,,,,0.0,unmatched,UNMATCHED,12112024,1675.77,
300737,el meetro Braanch 1,778,,,,0.0,unmatched,UNMATCHED,22112024,1816.58,
300738,EL Better Life Banha Main Road,744,,,,0.0,unmatched,UNMATCHED,23112024,5929.44,CLSD
300748,EL Star Care Smouha Branch 2,718,,,,0.0,unmatched,UNMATCHED,21112024,1466.16,CLSD
300771,El-Silver Care Maadi 011,782,,,,0.0,unmatched,UNMATCHED,01112024,2564.1,CLSD
300783,Ph/El Baarka 04,706,,,,0.0,unmatched,UNMATCHED,26112024,1230.62,
300789,EL Al Amal Moohandessin br.2,702,,,,0.0,unmatched,UNMATCHED,03112024,1220.3,
300794,Al Amal Station St.,741,,,,0.0,unmatched,UNMATCHED,10112024,7109.81,
300807,el DR MEDHAT MOHANDESSIN br.2,777,,,,0.0,unmatched,UNMATCHED,25112024,4127.31,CLSD
300808,nilecae 011,744,,,,0.0,unmatched,UNMATCHED,07112024,771.1,
300813,EL MIISR DOKKI-A,780,,,,0.0,unmatched,UNMATCHED,11112024,2149.32,CLSD
300826,PH Omega Mohnadessin MMall994,701,,,,0.0,unmatched,UNMATCHED,24112024,2057.68,CLSD
300833,Ph/Ebn Snia Imbaba,700,,,,0.0,unmatched,UNMATCHED,02112024,4242.38,CLSD
300841,PH care 24 sseven 011,716,,,,0.0,unmatched,UNMATCHED,10-Dec-2024,7195.37,
300842,El-omega Branh 1,747,,,,0.0,unmatched,UNMATCHED,04122024,6097.05,
300847,PH misr smouha Station SSt.,750,,,,0.0,unmatched,UNMATCHED,03122024,959.64,
300851,Health Gate Smouha-A,777,,,,0.0,unmatched,UNMATCHED,27122024,5955.17,CLSD
300852,EL Healt Gate Smoua-A,721,,,,0.0,unmatched,UNMATCHED,18-Dec-2024,8727.13,
300860,EL Misr,711,,,,0.0,unmatched,UNMATCHED,22122024,4982.05,CLSD
300870,PH care 24 seven,756,,,,0.0,unmatched,UNMATCHED,27122024,3156.3,CLSD
300874,els ilver care smouha,728,,,,0.0,unmatched,UNMATCHED,13122024,7967.11,CLSD
300875,Silver Care Smouha 6th Zone,770,,,,0.0,unmatched,UNMATCHED,10122024,2364.77,CLSD
300879,PH Car 24 Seven Mall368,739,,,,0.0,unmatched,UNMATCHED,18122024,2990.04,
300883,el zahraa imbaba Mall,753,,,,0.0,unmatched,UNMATCHED,25122024,2477.85,
300899,PH Surnise Oct City,758,,,,0.0,unmatched,UNMATCHED,12122024,2545.6,CLSD
300900,EL Sunrise Oct City Station St.,721,,,,0.0,unmatched,UNMATCHED,10-Dec-2024,4663.28,
300906,blue wave smouha Branch 1,749,,,,0.0,unmatched,UNMATCHED,15122024,3751.3,CLSD
300908,PH El Shifa Zaye dMall,743,,,,0.0,unmatched,UNMATCHED,12122024,6395.07,CLSD
300913,EL MOEGA,730,,,,0.0,unmatched,UNMATCHED,19122024,3584.91,CLSD
300917,El-Golden Care Banha,753,,,,0.0,unmatched,UNMATCHED,09122024,1068.35,CLSD
