invoice_no,account_name,branch_code,entry_date,entry_time,account_address,governorate,area,gross_value,total_discount,total_after_discount,line_count,record_state
300005,PH misr msouha Station SSt.,764,03092024,11:40:28,,,,2739.16,605.52,2133.64,8,
300006,MISR SMOUHA,754,03-Sep-2024,12:03:44,,Alexandria,Smouha,4919.60,661.92,4257.68,13,CLSD
300012,EL PHARMA WH-73,703,07092024,16:38:57,188 park Souha,,,1445.93,106.88,1339.05,4,CLSD
300013,El-PharmaP lus,705,16092024,14:33:39,,,,3392.60,305.00,3087.60,6,
300018,El-EL FARABY SMOUHA Mall,740,16092024,08:01:30,,,,3719.94,773.46,2946.48,10,
300026,Misr Smouhh Mall,761,16092024,13:21:40,"210 Sudan st., near bridge, Smouha",Alexandria,Smouha,3062.22,596.39,2465.83,2,
300028,PY/OMEGA OCT CITY 011,732,06092024,16:00:08,141 bridge Smouha,,,4642.18,1120.43,3521.75,6,CLSD
300030,PH/LIFE LINE WH-91,725,07092024,13:59:01,140 bridge smouha,,,4329.99,1147.96,3182.03,6,CLSD
300035,PY/FAMILY NOZHA WH-96,714,05092024,08:32:32,"209 Gamet Dewal st., near park, nasr city",Cairo,Nasr City,2739.97,214.85,2525.12,4,CLSD
300039,Ph/mira marg StationS t.,760,14092024,10:09:38,,Cairo,Nasr City,2512.28,453.22,2059.06,7,CLSD
300045,E LHope 6th Zone474,768,08092024,10:44:55,,,,5729.97,1129.02,4600.95,10,
300057,el city care montaza Mall135,736,24092024,13:07:15,,,,2781.76,421.91,2359.85,7,CLSD
300062,el Mra Barnch 2,718,06092024,14:15:43,35 mosque Nasr ity,,,762.16,75.35,686.81,2,CLSD
300063,PY/Fammily Nasr Main Road,752,08092024,13:43:26,Salah Salem 53 - Nasr City,,,3169.48,796.68,2372.80,2,
300064,PY/Family Nasr Branch 2,717,09-Sep-2024,12:47:53,,,,1908.14,173.18,1734.96,4,
300070,EL Pharma Plus Maadi Mall,722,23092024,15:51:40,,,,5885.20,812.49,5072.71,8,CLSD
300074,PY/DR MEDHAT NOZAH 04,769,02092024,11:29:04,Abbas 51 - Faisal,,,7101.27,1325.90,5775.37,11,
300081,El Zahraa011,704,22-Sep-2024,08:38:19,201 bridge Faiisal,,,1561.96,122.64,1439.32,5,
300091,EL El Zahraa Faisal,770,05092024,10:48:11,,Giza,Mohandessin,11015.43,1416.97,9598.46,15,CLSD
300095,EL Sunrise Agami,755,15092024,12:47:27,,,,859.56,119.53,740.03,2,
300096,ele l bbaraka faisal,762,20092024,15:07:45,,,,3335.42,507.34,2828.08,7,CLSD
300103,SUNRISE Branch 1,768,03092024,10:02:22,,,,3175.56,624.05,2551.51,4,
300109,PY/Better Life Banha,733,26092024,12:21:35,,,,1781.32,259.76,1521.56,4,CLSD
300117,El Faraby Mohandessin Brancch 1,705,15092024,11:32:20,,,,5051.15,354.40,4696.75,8,
300127,Ph/BETTER LIFE MOHANDESSIN Branch 2,751,26092024,14:18:02,,,,1743.19,448.61,1294.58,5,CLSD
300129,Ph/Life Line,758,22092024,09:10:44,,,,292.25,52.78,239.47,5,
300133,EL Angel Nozha Main Road,721,26-Sep-2024,14:16:52,"229 Haram st., near square, mohandessin",,,2134.06,272.25,1861.81,3,
300158,PY/EL SHIFA DOKKI Main Road212,775,11102024,15:58:49,"146 Gamet Dewal st., near market, Smoouha",,,4432.86,1079.89,3352.97,6,
300179,El-Sunrise Smouha-A197,723,26102024,11:31:07,,Alexandria,Smouha,2953.49,330.72,2622.77,6,
300183,Nile Care Dokki Branch 1,703,10102024,11:09:40,,Alexandria,Smouha,3103.14,120.64,2982.50,2,CLSD
300184,health gate shubra 011,746,20102024,13:50:02,,,,1803.64,282.93,1520.71,6,
300189,El-FAMILY SMOUHA Branch 1116,731,15102024,12:45:56,Geish 42 - Smohua,,,3679.78,516.77,3163.01,2,CLSD
300193,PY/Blue Wave Main Road,717,28102024,10:50:55,,,,728.34,101.31,627.03,2,
300209,PH EL WH-270,741,04102024,10:38:08,,,,4190.59,781.53,3409.06,8,
300218,Ph/Misr Nasr Main Road,722,08102024,08:51:03,Zayed 81 - Nasr City,Cairo,Nasr City,2371.56,312.12,2059.44,2,
300223,EL Sunrise Oct Cit yBrranch 1,709,24-Oct-2024,15:28:26,181 school NASR CITY,,,3102.70,749.69,2353.01,5,
300235,PY/PHARMA PLUS (2)136,771,06102024,10:27:02,,,,4505.92,683.10,3822.82,7,
300236,EL HOKAMA NASR Mall,742,02102024,12:49:15,66 gas station nasr city,,,2742.69,450.54,2292.15,5,
300237,El Hokama Nsar,716,16102024,09:29:34,Nasr Ctiy 191 Corniche st. gas station,,,1525.96,180.45,1345.51,2,CLSD
300239,City Care Montaza Station St.,754,21102024,15:33:35,"160 Gamet Dewal st., near market, NASR CITY",Giza,Mohandessin,2562.27,251.81,2310.46,9,
300258,EL ELITE NASR Station St.40,746,07102024,14:52:08,101 park Nasr City,,,2482.98,321.75,2161.23,6,CLSD
300263,PY/care 24 seven-A,727,13102024,11:44:24,"55 Geish st., near police st., Nasr City",Giza,Mohandessin,6036.46,1297.23,4739.23,11,
300267,el angeel nasr,702,24102024,12:27:28,Nasr ity 236 Tahrir st. police st.,Cairo,Nasr City,1035.50,123.92,911.58,3,CLSD
300274,Ph/El Tourath Maadi,720,04102024,08:48:33,Faisal 129 - Nasr City,,,3613.49,762.38,2851.11,6,CLSD
300275,PY/CITY CARE Mall,706,19102024,09:08:12,,,,9490.82,1796.77,7694.05,5,CLSD
300276,el Al Amal Mall,744,07102024,09:51:26,"235 Abbas st., near police st., Faaisal",,,1282.82,60.37,1222.45,3,
300282,PY/Ebn Sina Faisal Branch 1,745,17102024,14:51:36,181 square faisal,,,2776.57,419.77,2356.80,5,
300286,PYp/harma plus zayed 6th Zone,741,12-Oct-2024,08:54:28,Faisal 232 Tahrir st. square,,,1210.82,249.48,961.34,4,CLSD
300292,el Faily br.2,700,16-Oct-2024,13:51:15,Haram 168 - Faisal,,,366.68,51.67,315.01,3,CLSD
300293,el Faily  br.2,748,10102024,14:02:52,,,,3300.02,244.69,3055.33,9,CLSD
300307,FAMILY NOZHA WH-368,782,03102024,17:29:44,,,,2522.05,442.79,2079.26,7,CLSD
300310,El-Care 24 Seven 011,719,14102024,14:35:12,,,,8273.10,2081.45,6191.65,11,CLSD
300315,EL Green Leaf Branch 2,735,06102024,08:16:52,Fasal 193 Sudan st. market,,,6974.71,900.67,6074.04,9,CLSD
300320,PH EBN WH-381,729,09-Oct-2024,13:18:53,,,,5657.95,724.82,4933.13,7,CLSD
300330,Sunise Agami Mall,779,19102024,09:21:21,148 mosque Faisal,Giza,Faisal,700.77,163.13,537.64,7,
300332,el El Faraby Faisal 6th Zone940,753,27102024,10:38:43,,Alexandria,Smouha,2473.05,578.58,1894.47,6,CLSD
300333,El-Golden Care Mlal,749,19102024,12:56:50,10 mosque Faisal,,,4593.10,378.16,4214.94,7,
300339,metro faisalStation St.,712,13102024,16:13:20,Faisal 119 Zayed st. park,,,1974.04,222.28,1751.76,4,CLSD
300347,EL El Tourath Zayed,717,02102024,10:15:15,Tahrir 205 - Fasal,,,4061.72,384.91,3676.81,8,
300354,omegaa rehab view 04,761,24102024,13:28:46,Mohandessin 65 Autostrad st. mosque,,,4184.19,706.39,3477.80,7,CLSD
300357,PY/Green Leaf Mohndessin,727,27102024,10:15:00,Nasr 135 - Mohadessin,,,2384.96,542.92,1842.04,4,CLSD
300358,PH el tourath br.2,723,15-Oct-2024,19:26:23,Corniche 44 - Mohandessin,,,3582.60,256.95,3325.65,10,CLSD
300373,Mira,704,10102024,12:31:05,183 metro Mohandessin,,,2010.24,197.33,1812.91,7,CLSD
300387,ELa l amal (2),756,02102024,08:04:09,,Giza,Mohandessin,1463.11,403.08,1060.03,4,
300393,El-Nilee Care Imbaba,707,07102024,14:17:00,,Giza,Mohandessin,1308.94,169.02,1139.92,2,
300394,NILE CARE MOHANNDESSIN Main Road,728,05102024,08:58:37,Mohandsesin 6 Autostrad st. hospital,,,1799.41,290.71,1508.70,7,
300399,Ph/Star Care Helwan Branch 2,776,15102024,12:39:04,Abbas 171 - Moahndessin,,,1383.47,266.93,1116.54,4,
300402,Care 24 Seeven Mall,764,12102024,13:29:35,,,,1701.90,425.96,1275.94,2,CLSD
300403,Ph//al nozha Mall,725,04102024,12:27:25,,,,2366.63,609.78,1756.85,3,CLSD
300407,misr mhandessin Mall,761,15-Oct-2024,12:15:08,,Giza,Faisal,6693.72,742.09,5951.63,8,CLSD
300408,el OMGA MOHANDESSIN 011,749,13-Oct-2024,08:38:12,Mohanndessin 191 Industrial Zone st. school,,,5638.94,393.83,5245.11,10,
300412,Al Nozha Smouha br.2,725,09112024,18:15:50,,,,1327.05,311.67,1015.38,2,
300416,Care 24 Seven,766,21112024,13:40:38,Abbas 96 - Smouha,,,2149.62,526.57,1623.05,3,CLSD
300421,EL EL NASR MARG Main Road,782,03112024,14:00:58,Nile 57 - Smouha,,,4353.24,780.16,3573.08,9,
300426,Metro Oct City Stato St.686,752,17112024,16:06:22,Somuha 25 Haram st. gas station,,,1058.01,215.95,842.06,2,
300429,GOLDEN CRAE,751,20112024,13:52:35,,,,3792.32,874.52,2917.80,8,
300432,PY/Care 24 Seven,716,08112024,11:21:55,smouha 200 Geish st. school,Alexandria,Smouha,2998.50,428.17,2570.33,4,
300449,PH Blue Wave Maadi,700,07-Nov-2024,10:08:47,Nile 124 - Smouha,Alexandria,Smouha,2312.62,274.94,2037.68,4,
300459,El-EL FARABY SMOUHA 011,766,27-Nov-2024,13:08:21,Smouha 54 Haram st. bridge,,,2768.62,700.98,2067.64,3,CLSD
300460,Union Pharm Faisal,757,03112024,15:56:26,,,,3276.28,763.46,2512.82,8,
300463,el Sunrise Smouha Main Road,714,10112024,13:30:21,Smouha 132 Horreya st. hospital,,,1182.47,106.74,1075.73,2,CLSD
300474,el Omega Smouha,729,08112024,17:41:38,,Giza,Mohandessin,6709.18,1053.95,5655.23,9,CLSD
300476,EL Silvre Care Smouha,751,05112024,14:31:18,"228 Salah Salem st., near market, smouha",,,2532.95,541.68,1991.27,4,
300492,PY/Elite Branch 14493,778,22112024,15:48:15,,,,1958.46,338.78,1619.68,6,CLSD
300493,Ph/elite,764,07112024,12:56:19,Smouha 48 Nasr st. gas station,,,6198.79,1246.89,4951.90,6,
300495,Ph/misr smouha 6t hZoone,734,19112024,11:13:58,"73 Mustafa Nahhas st., near school, SMOUHA",,,8408.44,1175.84,7232.60,11,CLSD
300500,Angel Dokk-A,701,15112024,10:17:38,,,,3996.59,542.71,3453.88,5,CLSD
300502,PY/HEALTH GATE618,745,27112024,13:13:08,"209 Corniche st., near square, Nasr City",,,8502.88,1175.86,7327.02,12,
