doc_no,account_ref,doc_date,doc_time,doc_type,line_count
300002,P:1019,03/09/2024,13:18,INV,11
300004,P:1029,07/09/2024,09:18,INV,8
300007,P:1039,27/09/2024,13:35,INV,9
300008,P:1056,23/09/2024,08:36,INV,5
300009,P:1079,05/09/2024,14:59,INV,6
300011,P:1135,25/09/2024,13:04,INV,6
9300011,P:1135,25/09/2024,17:04,CR,2
300015,P:1158,22/09/2024,13:53,INV,7
300016,P:1158,16/09/2024,08:21,INV,4
300017,P:1173,23/09/2024,13:49,INV,8
300019,P:1300,25/09/2024,13:06,INV,12
300020,P:1301,16/09/2024,11:04,INV,5
300021,P:1323,27/09/2024,12:53,INV,12
300024,P:1369,14/09/2024,10:18,INV,6
300027,P:1389,07/09/2024,14:38,INV,7
300029,P:1408,05/09/2024,16:55,INV,3
300031,P:1420,18/09/2024,13:33,INV,6
300033,P:1445,17/09/2024,10:32,INV,9
300034,P:1457,16/09/2024,13:23,INV,6
300036,P:1468,28/09/2024,14:50,INV,5
300037,P:1480,21/09/2024,08:58,INV,3
300038,P:1480,19/09/2024,17:59,INV,3
300042,P:1510,10/09/2024,16:19,INV,5
300044,P:1512,03/09/2024,16:38,INV,4
300047,P:1537,01/09/2024,13:13,INV,5
300048,P:1537,10/09/2024,09:11,INV,10
300049,P:1537,20/09/2024,15:26,INV,9
300050,P:1537,19/09/2024,11:28,INV,8
300051,P:1537,01/09/2024,10:40,INV,5
300052,P:1563,19/09/2024,08:29,INV,3
300053,P:1568,28/09/2024,10:45,INV,3
300054,P:1582,19/09/2024,13:19,INV,4
300055,P:1603,06/09/2024,14:04,INV,9
300059,P:1623,16/09/2024,13:04,INV,4
300061,P:1689,10/09/2024,14:49,INV,6
300067,P:1866,22/09/2024,14:19,INV,7
300071,P:1923,24/09/2024,17:38,INV,5
300072,P:1923,17/09/2024,15:25,INV,6
300073,P:1928,27/09/2024,14:56,INV,9
300075,P:1953,18/09/2024,12:42,INV,4
300076,P:2004,08/09/2024,13:12,INV,3
300077,P:2004,27/09/2024,08:51,INV,4
300078,P:2021,03/09/2024,16:26,INV,5
300080,P:2023,20/09/2024,17:13,INV,5
300087,P:2091,16/09/2024,13:46,INV,7
300089,P:2101,11/09/2024,11:02,INV,4
300090,P:2107,08/09/2024,11:23,INV,4
300094,P:2132,19/09/2024,11:50,INV,5
300097,P:2175,08/09/2024,13:36,INV,7
300098,P:2175,17/09/2024,10:22,INV,12
300100,P:2192,11/09/2024,13:46,INV,6
300101,P:2192,24/09/2024,11:49,INV,6
300106,P:2370,17/09/2024,14:41,INV,9
300107,P:2370,28/09/2024,10:35,INV,5
300110,P:2380,12/09/2024,11:44,INV,7
300111,P:2383,27/09/2024,15:27,INV,10
9300111,P:2383,27/09/2024,16:27,CR,2
300112,P:2383,09/09/2024,13:10,INV,9
300114,P:2391,04/09/2024,12:46,INV,5
300115,P:2391,02/09/2024,14:51,INV,9
9300115,P:2391,02/09/2024,15:51,CR,2
300118,P:2411,07/09/2024,12:45,INV,8
300120,P:2447,10/09/2024,11:39,INV,5
300121,P:2462,16/09/2024,09:44,INV,4
300122,P:2462,22/09/2024,12:26,INV,15
300123,P:2496,05/09/2024,09:21,INV,10
300124,P:2560,10/09/2024,11:55,INV,6
300125,P:2560,11/09/2024,13:03,INV,8
300128,P:2586,18/09/2024,08:37,INV,9
300131,P:2604,24/09/2024,08:11,INV,5
300132,P:2655,14/09/2024,08:19,INV,6
300136,P:2735,09/09/2024,17:10,INV,3
300138,P:2735,14/09/2024,10:34,INV,5
300139,P:2735,03/09/2024,10:24,INV,7
300140,P:2738,05/09/2024,10:22,INV,5
300141,P:2780,03/09/2024,12:36,INV,9
300142,P:2780,05/09/2024,11:38,INV,7
300143,P:1019,11/10/2024,08:27,INV,10
300144,P:1019,02/10/2024,08:24,INV,4
300149,P:1029,14/10/2024,15:48,INV,4
300150,P:1035,21/10/2024,13:13,INV,7
300151,P:1036,20/10/2024,12:08,INV,6
300152,P:1042,21/10/2024,17:09,INV,6
300153,P:1079,16/10/2024,10:42,INV,6
300154,P:1079,18/10/2024,14:17,INV,4
300155,P:1080,22/10/2024,10:03,INV,9
300156,P:1080,04/10/2024,15:16,INV,9
300157,P:1116,25/10/2024,16:24,INV,9
300159,P:1116,02/10/2024,11:47,INV,6
300160,P:1116,08/10/2024,11:51,INV,9
300161,P:1116,03/10/2024,08:32,INV,8
300162,P:1135,01/10/2024,09:04,INV,9
300166,P:1159,02/10/2024,13:23,INV,3
300167,P:1173,05/10/2024,16:29,INV,13
300169,P:1174,10/10/2024,08:40,INV,6
300173,P:1203,06/10/2024,16:46,INV,6
300175,P:1236,16/10/2024,17:34,INV,5
300176,P:1238,27/10/2024,08:15,INV,6
300178,P:1253,22/10/2024,12:59,INV,14
300181,P:1288,23/10/2024,09:21,INV,4
300182,P:1288,26/10/2024,11:56,INV,15
300185,P:1301,12/10/2024,12:22,INV,4
300186,P:1305,18/10/2024,09:59,INV,6
300187,P:1316,15/10/2024,17:51,INV,2
300190,P:1323,23/10/2024,10:10,INV,12
300191,P:1332,08/10/2024,12:51,INV,3
300192,P:1347,03/10/2024,14:43,INV,5
300195,P:1363,24/10/2024,13:42,INV,6
300196,P:1363,01/10/2024,08:18,INV,5
300197,P:1363,20/10/2024,14:17,INV,6
300198,P:1364,15/10/2024,11:09,INV,5
300200,P:1369,01/10/2024,13:30,INV,5
300201,P:1382,20/10/2024,13:10,INV,11
300202,P:1389,23/10/2024,08:19,INV,9
300205,P:1394,10/10/2024,13:15,INV,7
300208,P:1405,10/10/2024,10:32,INV,10
9300208,P:1405,10/10/2024,12:32,CR,2
300212,P:1411,11/10/2024,10:33,INV,8
300215,P:1457,18/10/2024,09:22,INV,3
300216,P:1457,20/10/2024,15:50,INV,5
300219,P:1491,26/10/2024,08:47,INV,6
300220,P:1537,25/10/2024,08:54,INV,6
300222,P:1562,14/10/2024,12:14,INV,5
300225,P:1565,17/10/2024,17:18,INV,9
300226,P:1565,11/10/2024,11:24,INV,10
300227,P:1565,10/10/2024,08:04,INV,7
300229,P:1568,09/10/2024,13:40,INV,5
300231,P:1575,10/10/2024,15:36,INV,3
300238,P:1603,06/10/2024,13:44,INV,5
300240,P:1621,19/10/2024,08:20,INV,6
300241,P:1621,19/10/2024,08:48,INV,7
300242,P:1623,07/10/2024,08:26,INV,5
300246,P:1647,09/10/2024,15:43,INV,9
300251,P:1662,01/10/2024,12:23,INV,6
300253,P:1669,19/10/2024,10:34,INV,5
300255,P:1669,09/10/2024,13:15,INV,6
300256,P:1669,22/10/2024,08:50,INV,10
300257,P:1697,02/10/2024,17:43,INV,6
300259,P:1717,05/10/2024,18:41,INV,9
300262,P:1750,23/10/2024,13:27,INV,3
300264,P:1780,08/10/2024,09:54,INV,2
300265,P:1781,08/10/2024,08:29,INV,2
300266,P:1791,09/10/2024,17:03,INV,8
300271,P:1866,03/10/2024,16:38,INV,10
300272,P:1866,26/10/2024,14:21,INV,6
300273,P:1872,15/10/2024,08:14,INV,6
300277,P:1903,15/10/2024,15:05,INV,4
300279,P:1905,19/10/2024,13:30,INV,15
9300279,P:1905,19/10/2024,20:30,CR,2
300280,P:1911,05/10/2024,14:58,INV,10
300281,P:1935,27/10/2024,16:41,INV,5
300283,P:1935,14/10/2024,15:47,INV,7
300284,P:1935,23/10/2024,09:27,INV,9
300287,P:1953,28/10/2024,12:48,INV,4
300288,P:1953,23/10/2024,12:08,INV,6
300289,P:1954,18/10/2024,15:37,INV,6
300290,P:1959,14/10/2024,10:12,INV,4
300291,P:1967,23/10/2024,15:09,INV,2
300294,P:1996,04/10/2024,08:07,INV,7
300295,P:1996,19/10/2024,15:53,INV,4
300297,P:1997,23/10/2024,08:20,INV,5
300298,P:2007,02/10/2024,18:40,INV,9
300299,P:2007,27/10/2024,14:52,INV,7
300301,P:2016,07/10/2024,09:20,INV,4
