id,name,class,governorate,area,opens_at_hh,closes_at_hh,sales_rep_id,registered_on,status_code,phone_last4,lat,lon
1000,Misr Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-06-28,0,2783,31.209351,29.943505
1001,El Nasr Pharmacy,,Alexandria,Smouha,9,23,1,2025-01-26,0,5371,31.21371,29.940187
1002,Silver Care Pharmacy - Marg,,Alexandria,Smouha,10,23,1,2024-12-14,0,6311,31.209008,29.946698
1003,El Nasr Pharmacy - Obour,,Alexandria,Smouha,8,23,1,2024-12-15,0,9829,31.211231,29.935484
1004,Nile Care Pharmacy - Zayed,,Alexandria,Smouha,9,23,1,2025-06-22,0,7415,31.204916,29.944818
1005,Salamtek Pharmacy,,Alexandria,Smouha,9,23,1,2025-04-21,0,5559,31.214523,29.940215
1006,Blue Wave Pharmacy,,Alexandria,Smouha,9,23,1,2025-02-21,0,7701,31.204394,29.949607
1007,Alpha Pharma - Zayed,,Alexandria,Smouha,9,23,1,2025-08-01,2,4291,31.212922,29.93094
1008,Metro Pharmacy,,Alexandria,Smouha,9,23,1,2025-05-07,1,2707,31.204366,29.941059
1009,Sunrise Pharmacy - Agami,,Alexandria,Smouha,9,23,1,2024-12-14,0,1459,31.21439,29.947414
1010,Better Life Pharmacy - Obour,,Alexandria,Smouha,8,23,1,2025-08-11,0,4393,31.208882,29.931935
1011,El Zahraa Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2024-11-11,2,4822,31.204189,29.952454
1012,Golden Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-08,0,2048,31.216949,29.936699
1013,Metro Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2024-11-13,0,8119,31.203297,29.948772
1014,Union Pharm - Rehab View,,Alexandria,Smouha,10,23,1,2025-06-04,0,8701,31.212913,29.955058
1015,Omega Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-01-05,0,3591,31.207685,29.92775
1016,Al Nozha Pharmacy - Smouha,,Alexandria,Smouha,10,2,1,2024-10-31,0,6707,31.218056,29.941406
1017,El Zahraa Pharmacy - Maadi,,Alexandria,Smouha,9,23,1,2025-04-19,0,1548,31.205041,29.935161
1018,Metro Pharmacy - Agami,,Alexandria,Smouha,8,1,1,2025-01-12,0,5434,31.210959,29.956959
1019,Care 24 Seven,,Alexandria,Smouha,9,23,1,2024-09-10,1,7404,31.203848,29.930458
1020,Omega Pharmacy,,Alexandria,Smouha,10,23,1,2024-12-21,0,4580,31.208641,29.942905
1021,El Nasr Pharmacy - Marg,,Alexandria,Smouha,8,23,1,2024-09-13,0,6211,31.213948,29.941657
1022,El Zahraa Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2024-10-09,0,1674,31.206512,29.947574
1023,Al Amal Pharmacy,,Alexandria,Smouha,8,23,1,2025-05-23,0,6877,31.210933,29.935544
1024,Care 24 Seven,,Alexandria,Smouha,9,23,1,2025-01-18,0,9014,31.204375,29.945969
1025,Elite Pharmacy,,Alexandria,Smouha,9,2,1,2025-01-02,0,2137,31.21549,29.940303
1026,Hope Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-15,0,6013,31.20609,29.949587
1027,El Tourath Pharmacy,,Alexandria,Smouha,9,1,1,2024-11-18,0,3749,31.214127,29.931985
1028,Health Gate Pharmacy,,Alexandria,Smouha,9,2,1,2025-03-29,0,2480,31.203373,29.940473
1029,Al Nozha Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-09-06,1,1658,31.215294,29.948576
1030,Blue Wave Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-07-11,0,7258,31.207314,29.932583
1031,Omega Pharmacy,,Alexandria,Smouha,9,23,1,2025-08-28,0,3129,31.203975,29.952298
1032,Silver Care Pharmacy,,Alexandria,Smouha,8,23,1,2025-01-15,0,2802,31.216646,29.93452
1033,Blue Wave Pharmacy - Banha,,Alexandria,Smouha,9,23,1,2025-09-10,0,1094,31.202887,29.948541
1034,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-11-05,0,6956,31.213639,29.954026
1035,Misr Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-01,0,8199,31.207395,29.927086
1036,Star Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-19,0,1295,31.218506,29.94197
1037,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,10,1,1,2025-05-14,0,2702,31.205481,29.934873
1038,El Faraby Pharmacy - Obour,,Alexandria,Smouha,8,1,1,2025-05-29,0,8314,31.209598,29.955246
1039,Life Line Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2024-09-21,0,9305,31.20653,29.926932
1040,Union Pharm,,Alexandria,Smouha,9,23,1,2025-01-03,0,8558,31.209064,29.944897
1041,El Nasr Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-07-16,0,7047,31.213339,29.93738
1042,Mira Pharmacy - Banha,,Alexandria,Smouha,8,23,1,2024-10-06,0,7033,31.206246,29.947121
1043,Omega Pharmacy,,Alexandria,Smouha,9,23,1,2025-08-04,1,7348,31.210371,29.935969
1044,El Shifa Pharmacy,,Alexandria,Smouha,9,1,1,2025-06-20,0,9004,31.205523,29.946504
1045,Union Pharm,,Alexandria,Smouha,8,23,1,2025-05-21,1,7084,31.21547,29.942617
1046,Health Gate Pharmacy - Oct City,,Alexandria,Smouha,8,23,1,2025-05-25,0,6188,31.208617,29.950878
1047,Dr Medhat Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-08-29,0,6294,31.209991,29.933485
1048,Health Gate Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-12-01,0,4075,31.204592,29.93877
1049,Metro Pharmacy - Oct City,,Alexandria,Smouha,9,1,1,2024-11-14,0,3466,31.214153,29.947843
1050,Al Amal Pharmacy,,Alexandria,Smouha,9,23,1,2025-01-13,0,9746,31.209424,29.932532
