area,rep_id,pharmacy_id,priority,ops_note
Smouha,1,1000,3,
Smouha,1,1027,2,
Smouha,1,1053,2,
Smouha,1,1084,3,
Smouha,1,1007,1,
Smouha,1,1136,2,
Smouha,1,1161,2,
Smouha,1,1194,3,
Smouha,1,1217,2,
Smouha,1,1247,3,
Smouha,1,1271,2,
Smouha,1,1433,2,
Smouha,1,1324,2,
Smouha,1,1354,2,
Smouha,1,1384,2,
Smouha,1,1414,3,
Nasr City,2,1440,1,
Nasr City,2,1469,2,
Nasr City,2,1495,3,
Nasr City,2,1525,1,
Nasr City,2,1441,3,
Nasr City,2,1582,1,
Nasr City,2,1607,2,
Nasr City,2,1635,3,
Nasr City,2,1666,3,
Nasr City,2,1694,1,
Nasr City,2,1722,2,
Nasr City,2,1884,3,
Nasr City,2,1774,3,
Nasr City,2,1804,1,
Nasr City,2,1829,3,
Nasr City,2,1856,2,
Faisal,3,1890,1,
Faisal,3,1918,2,
Faisal,3,1948,2,
Faisal,3,1976,2,
Faisal,3,1892,1,
Faisal,3,2033,1,
Faisal,3,2060,2,
Faisal,3,2088,3,
Faisal,3,2114,1,
Faisal,3,2144,3,
Faisal,3,2170,1,
Faisal,3,2334,3,
Faisal,3,2228,1,
Faisal,3,2255,3,
Faisal,3,2282,2,
Faisal,3,2308,1,
Mohandessin,4,2340,1,
Mohandessin,4,2370,1,
Mohandessin,4,2395,2,
Mohandessin,4,2426,2,
Mohandessin,4,2349,1,
Mohandessin,4,2482,1,
Mohandessin,4,2512,1,
Mohandessin,4,2541,2,
Mohandessin,4,2570,2,
Mohandessin,4,2600,1,
Mohandessin,4,2632,3,
Mohandessin,4,2795,2,
Mohandessin,4,2689,1,
Mohandessin,4,2715,2,
Mohandessin,4,2746,3,
Mohandessin,4,2773,1,
