stop_index,pharmacy_id,name,priority,status_code,lat,lon,drive_to_stop_min,arrival_time,stay_duration_min,departure_time,target_arrival,rhythm_status,duration_source
1,2308,Care 24 Seven - Faisal,1,0,30.002171,31.153058,24.3,09:24,12.0,09:36,10:16,Optimal (Arrived 52m before peak),Historical Median (9 visits)
2,1948,Pharma Plus - Zayed,2,0,30.001355,31.150392,4.0,09:40,15.0,09:55,11:40,Optimal (Arrived 120m before peak),Historical Median (3 visits)
3,2088,Metro Pharmacy - Obour,3,0,30.002486,31.15199,4.0,09:59,15.0,10:14,11:52,Optimal (Arrived 113m before peak),Historical Median (13 visits)
4,1890,Metro Pharmacy,1,0,30.003577,31.17046,9.8,10:24,13.0,10:37,12:02,Optimal (Arrived 98m before peak),Historical Median (8 visits)
5,2144,Golden Care Pharmacy,3,0,29.998813,31.175005,4.0,10:41,11.0,10:52,10:41,Acceptable (+0m within order window),Historical Median (7 visits)
6,1976,Golden Care Pharmacy - Square,2,0,29.994732,31.169834,4.0,10:56,19.0,11:15,12:21,Optimal (Arrived 85m before peak),Historical Median (11 visits)
7,1892,Nile Care Pharmacy - Faisal,1,2,29.998123,31.175308,5.5,11:20,16.0,11:36,12:28,Optimal (Arrived 68m before peak),Area Benchmark Fallback (Faisal median = 16.0m)
8,2060,Omega Pharmacy - Faisal,2,0,30.011897,31.163976,10.2,11:46,13.0,11:59,12:46,Optimal (Arrived 59m before peak),Historical Median (5 visits)
9,2033,Blue Wave Pharmacy - Faisal,1,0,30.01046,31.155987,6.0,12:30,14.0,12:44,12:05,Thin History / On-Track,Historical Median (8 visits)
10,2114,El Baraka Pharmacy - Oct City,1,0,30.001927,31.182743,4.0,12:48,18.0,13:06,09:49,Thin History / On-Track,Historical Median (11 visits)
11,1918,Golden Care Pharmacy,2,0,30.003642,31.188447,5.2,13:12,13.0,13:25,13:03,Acceptable (+8m within order window),Historical Median (5 visits)
12,2282,Dr Medhat Pharmacy - Montaza,2,0,30.008582,31.181045,6.4,13:31,17.0,13:48,13:01,Acceptable (+30m within order window),Historical Median (6 visits)
13,2255,Dr Medhat Pharmacy - Faisal,3,0,30.010519,31.160098,10.7,13:59,21.0,14:20,11:58,Late (+121m after peak),Historical Median (8 visits)
14,2228,Sunrise Pharmacy,1,0,30.00501,31.152341,6.7,14:26,20.0,14:46,14:44,Optimal (Arrived 17m before peak),Historical Median (9 visits)
15,2334,Green Leaf Pharmacy,3,1,29.997637,31.181255,14.1,15:00,16.0,15:16,19:14,Optimal (Arrived 254m before peak),Area Benchmark Fallback (Faisal median = 16.0m)
16,2170,Mira Pharmacy,1,0,30.00324,31.169228,8.0,15:24,18.0,15:42,16:10,Optimal (Arrived 45m before peak),Historical Median (5 visits)
