stop_index,pharmacy_id,name,priority,status_code,lat,lon,drive_to_stop_min,arrival_time,stay_duration_min,departure_time,target_arrival,rhythm_status,duration_source
1,2600,Union Pharm - Haram,1,0,30.059129,31.194886,17.6,09:17,17.0,09:34,12:13,Optimal (Arrived 175m before peak),Historical Median (5 visits)
2,2715,El Shifa Pharmacy - Mohandessin,2,0,30.057337,31.195087,4.4,09:39,9.0,09:48,12:15,Optimal (Arrived 156m before peak),Historical Median (5 visits)
3,2395,Better Life Pharmacy - Helwan,2,0,30.05398,31.19613,5.8,09:53,20.0,10:13,12:39,Optimal (Arrived 165m before peak),Historical Median (7 visits)
4,2426,Green Leaf Pharmacy - Mohandessin,2,0,30.053225,31.198095,4.5,10:18,18.0,10:36,11:46,Optimal (Arrived 88m before peak),Historical Median (10 visits)
5,2482,Mira Pharmacy,1,0,30.058,31.200067,7.1,10:43,7.0,10:50,12:07,Optimal (Arrived 84m before peak),Historical Median (7 visits)
6,2349,Silver Care Pharmacy - Haram,1,1,30.062481,31.2008,6.6,10:57,16.0,11:13,11:52,Optimal (Arrived 56m before peak),Area Benchmark Fallback (Mohandessin median = 16.0m)
7,2689,Mira Pharmacy - Mohandessin,1,0,30.062709,31.202372,4.1,11:17,19.0,11:36,11:46,Optimal (Arrived 29m before peak),Historical Median (7 visits)
8,2512,Al Amal Pharmacy - Mohandessin,1,0,30.064655,31.201174,4.8,11:40,17.0,11:57,11:52,Optimal (Arrived 11m before peak),Historical Median (10 visits)
9,2370,Al Nozha Pharmacy,1,0,30.056519,31.188315,4.0,12:26,24.0,12:50,12:25,Acceptable (+2m within order window),Historical Median (9 visits)
10,2570,El Nasr Pharmacy - Mohandessin,2,0,30.059207,31.188941,5.2,12:56,17.0,13:13,12:31,Acceptable (+25m within order window),Historical Median (6 visits)
11,2340,El Tourath Pharmacy - Oct City,1,0,30.059343,31.198519,9.6,13:22,12.0,13:34,13:03,Acceptable (+19m within order window),Historical Median (9 visits)
12,2541,Better Life Pharmacy - Mohandessin,2,0,30.062036,31.193194,7.3,13:42,22.0,14:04,13:45,Optimal (Arrived 3m before peak),Historical Median (7 visits)
13,2795,El Shifa Pharmacy - Dokki,2,1,30.054093,31.196273,9.7,14:13,16.0,14:29,14:10,Acceptable (+4m within order window),Area Benchmark Fallback (Mohandessin median = 16.0m)
14,2746,Union Pharm - Mohandessin,3,0,30.052084,31.19642,4.6,14:34,22.0,14:56,13:27,Late (+67m after peak),Historical Median (9 visits)
15,2773,El Zahraa Pharmacy,1,0,30.053659,31.192127,6.2,15:02,15.0,15:17,14:57,Acceptable (+6m within order window),Historical Median (5 visits)
16,2632,Better Life Pharmacy,3,0,30.064519,31.199488,13.1,15:30,20.0,15:50,12:30,Thin History / On-Track,Historical Median (9 visits)
