stop_index,pharmacy_id,name,priority,status_code,lat,lon,drive_to_stop_min,arrival_time,stay_duration_min,departure_time,target_arrival,rhythm_status,duration_source
1,1856,Sunrise Pharmacy - Nasr,2,0,30.049042,31.346891,18.4,09:18,19.0,09:37,13:11,Optimal (Arrived 233m before peak),Historical Median (10 visits)
2,1666,Hope Pharmacy - Agami,3,0,30.04904,31.334522,6.8,09:44,11.5,09:55,10:12,Optimal (Arrived 28m before peak),Historical Median (10 visits)
3,1694,Pharma Plus - Obour,1,0,30.0395,31.361562,11.9,10:07,20.0,10:27,10:51,Optimal (Arrived 43m before peak),Historical Median (9 visits)
4,1804,Al Amal Pharmacy,1,0,30.046576,31.364894,5.7,10:33,22.5,10:55,12:12,Optimal (Arrived 99m before peak),Historical Median (4 visits)
5,1582,Pharma Plus,1,0,30.049245,31.371184,5.1,11:00,24.5,11:25,11:42,Optimal (Arrived 42m before peak),Historical Median (6 visits)
6,1495,Silver Care Pharmacy - Marg,3,0,30.058621,31.369571,6.3,11:31,16.0,11:47,11:50,Optimal (Arrived 19m before peak),Historical Median (11 visits)
7,1635,Al Amal Pharmacy,3,0,30.060141,31.36831,4.0,11:51,20.0,12:11,12:35,Optimal (Arrived 43m before peak),Historical Median (9 visits)
8,1525,Mira Pharmacy,1,0,30.062727,31.358368,6.2,12:17,10.5,12:28,14:17,Thin History / On-Track,Historical Median (12 visits)
9,1440,Golden Care Pharmacy,1,0,30.049531,31.358165,8.0,13:01,19.5,13:20,13:52,Optimal (Arrived 51m before peak),Historical Median (8 visits)
10,1774,El Hokama Pharmacy - Nasr,3,0,30.042257,31.360038,5.6,13:26,20.0,13:46,13:39,Optimal (Arrived 12m before peak),Historical Median (9 visits)
11,1884,Misr Pharmacy - Haram,3,1,30.044797,31.364443,4.6,13:51,16.0,14:07,14:53,Optimal (Arrived 62m before peak),Area Benchmark Fallback (Nasr City median = 16.0m)
12,1722,Blue Wave Pharmacy,2,0,30.048445,31.370343,5.2,14:12,16.5,14:28,15:06,Optimal (Arrived 54m before peak),Historical Median (2 visits)
13,1441,El Nasr Pharmacy,3,1,30.060475,31.351022,10.2,14:39,16.0,14:55,13:57,Thin History / On-Track,Area Benchmark Fallback (Nasr City median = 16.0m)
14,1829,Silver Care Pharmacy - Nasr,3,0,30.047152,31.347179,7.8,15:02,19.5,15:22,16:43,Optimal (Arrived 100m before peak),Historical Median (10 visits)
15,1607,El Nasr Pharmacy - Helwan,2,0,30.044142,31.353681,5.2,15:27,17.5,15:45,16:38,Optimal (Arrived 70m before peak),Historical Median (8 visits)
16,1469,City Care Pharmacy,2,0,30.048648,31.35012,4.9,15:49,19.0,16:08,16:42,Optimal (Arrived 53m before peak),Historical Median (7 visits)
