stop_index,pharmacy_id,name,priority,status_code,lat,lon,drive_to_stop_min,arrival_time,stay_duration_min,departure_time,target_arrival,rhythm_status,duration_source
1,1247,Union Pharm - Oct City,3,0,31.211668,29.93164,22.0,09:22,11.5,09:33,09:53,Optimal (Arrived 31m before peak),Historical Median (10 visits)
2,1027,El Tourath Pharmacy,2,0,31.214127,29.931985,4.4,09:37,19.0,09:56,11:13,Optimal (Arrived 95m before peak),Historical Median (4 visits)
3,1161,El Tourath Pharmacy - Smouha,2,0,31.211648,29.940848,7.5,10:04,16.0,10:20,10:29,Optimal (Arrived 25m before peak),Historical Median (9 visits)
4,1000,Misr Pharmacy - Smouha,3,0,31.209351,29.943505,4.8,10:25,17.0,10:42,10:43,Optimal (Arrived 18m before peak),Historical Median (5 visits)
5,1384,Family Pharmacy - Oct City,2,0,31.203983,29.945258,6.1,10:48,19.0,11:07,12:23,Optimal (Arrived 95m before peak),Historical Median (9 visits)
6,1324,Mira Pharmacy,2,0,31.204432,29.944526,4.0,11:11,19.5,11:30,12:40,Optimal (Arrived 89m before peak),Historical Median (4 visits)
7,1053,Mira Pharmacy - Smouha,2,0,31.201,29.947125,4.0,11:34,17.5,11:52,11:46,Optimal (Arrived 11m before peak),Historical Median (6 visits)
8,1271,El Hokama Pharmacy,2,0,31.205755,29.950049,6.0,11:58,15.0,12:13,13:12,Optimal (Arrived 74m before peak),Historical Median (7 visits)
9,1136,Al Nozha Pharmacy,2,0,31.219732,29.942322,11.6,12:49,21.0,13:10,13:00,Optimal (Arrived 10m before peak),Historical Median (9 visits)
10,1007,Alpha Pharma - Zayed,1,2,31.212922,29.93094,9.6,13:20,16.0,13:36,13:23,Optimal (Arrived 2m before peak),Area Benchmark Fallback (Smouha median = 16.0m)
11,1217,Al Nozha Pharmacy,2,0,31.20429,29.932439,7.9,13:44,12.5,13:56,13:49,Optimal (Arrived 5m before peak),Historical Median (8 visits)
12,1433,Metro Pharmacy - Smouha,2,2,31.202365,29.946328,9.7,14:06,16.0,14:22,14:11,Optimal (Arrived 5m before peak),Area Benchmark Fallback (Smouha median = 16.0m)
13,1354,Dr Medhat Pharmacy,2,0,31.21368,29.955883,10.8,14:33,20.0,14:53,13:34,Late (+59m after peak),Historical Median (7 visits)
14,1194,Misr Pharmacy - Helwan,3,0,31.214279,29.952608,4.6,14:58,13.0,15:11,11:29,Late (+209m after peak),Historical Median (8 visits)
15,1414,Alpha Pharma - Smouha,3,0,31.210988,29.954103,5.0,15:16,16.5,15:32,12:27,Late (+169m after peak),Historical Median (4 visits)
16,1084,Care 24 Seven,3,0,31.204573,29.945186,8.6,15:41,16.5,15:57,12:24,Late (+197m after peak),Historical Median (12 visits)
